 	oggi	abbiamo	deciso	di	andare	al	mare	alla	spiaggia	sono	andati	tutti	solamente	mio	fratello	non	</S>
a23	0.06832105	0.06140138	0.06687831	0.0673402	0.09528402	0.0829705	0.058346227	0.021082887	0.013560217	0.013341127	0.014036167	0.060485333	0.025231082	0.02486699	0.03388522	0.05347533	0.23949403
a31	0.059804495	0.061417174	0.37356296	0.13015538	0.06766975	0.05839364	0.046541307	0.018112414	0.0105169965	0.012959795	0.010536864	0.01392401	0.038414463	0.022254054	0.03016688	0.028916517	0.016653368
a20	0.038939767	0.04850514	0.3092718	0.2123707	0.08307674	0.037309956	0.022220587	0.016462386	0.0068212943	0.009433256	0.006844989	0.014652439	0.066507965	0.04610513	0.04026638	0.026161248	0.015050226
a31	0.04128981	0.087237604	0.15482476	0.15029389	0.13105287	0.04622375	0.05292132	0.039323546	0.0040770317	0.005771941	0.004826378	0.059471868	0.033387322	0.032288574	0.048333485	0.058715798	0.049960025
a28	0.017190803	0.022012433	0.030671488	0.02732098	0.02612732	0.029736195	0.016668392	0.05786431	0.0072155045	0.015493875	0.015196623	0.20607059	0.14077039	0.07311612	0.016494174	0.09363	0.2044208
a37	0.006621565	0.015173908	0.033484533	0.03323494	0.037795845	0.026532747	0.01623383	0.046679474	0.012242435	0.007509763	0.018406125	0.21994123	0.14586686	0.0586645	0.036324352	0.1421629	0.14312497
a16	0.007307767	0.016377939	0.040879164	0.029347593	0.021690067	0.028391749	0.022035355	0.042994346	0.006730088	0.01336769	0.015114178	0.30616418	0.12908028	0.093647264	0.019600967	0.11103815	0.096233286
a21	0.0050573824	0.010601166	0.03011285	0.022173267	0.01590391	0.021199541	0.024659107	0.03464057	0.0053534564	0.013065866	0.01478641	0.29470575	0.12811773	0.10363112	0.022855505	0.13807008	0.11506631
a31	0.0074612456	0.012064557	0.04006159	0.02489446	0.015794082	0.022602482	0.020578425	0.027898477	0.0056656054	0.014307998	0.012027152	0.27737156	0.1470559	0.090187445	0.017694645	0.15843837	0.10589604
a37	0.013800517	0.010923235	0.03777897	0.028348321	0.01141777	0.007797157	0.0066357157	0.0067682476	0.0050614025	0.0071291733	0.01002058	0.069371566	0.2714476	0.13039102	0.043831527	0.1618887	0.17738847
a21	0.005748213	0.0046873814	0.020907415	0.011533851	0.0067844205	0.019438235	0.028035278	0.01472082	0.008493434	0.027930858	0.029229542	0.13744128	0.3606271	0.09178459	0.029301789	0.06940998	0.13392584
a27	0.0044561517	0.004593707	0.019783713	0.013112703	0.008591725	0.016505498	0.022515096	0.01473598	0.0070030084	0.019208832	0.024628995	0.15508413	0.3112473	0.09223813	0.01945872	0.08053712	0.18629916
