 	e	che	cucino	</S>
a31	0.46230865	0.1848552	0.090693735	0.26214248
a24	0.42880058	0.41393664	0.079014204	0.07824855
a31	0.5588869	0.1952912	0.17458196	0.07123995
a11	0.35624087	0.16164951	0.41205415	0.07005552
a46	0.1465197	0.14132768	0.54710317	0.16504946
a41	0.34394905	0.15987413	0.26685733	0.22931953
a20	0.3428459	0.07561637	0.17827785	0.40325993
a36	0.032927282	0.013026771	0.1627031	0.79134285
a31	0.027015807	0.011737639	0.24354982	0.7176967
a46	0.0052854824	0.053278264	0.25028223	0.691154
</S>	0.003474704	0.06840172	0.2541298	0.6739938
