 	lo	sentii	che	viene	</S>
a43	0.59997207	0.27503428	0.07482974	0.02165797	0.028505988
a17	0.43475616	0.24381267	0.080100626	0.1427062	0.098624356
a11	0.40762386	0.27446038	0.070909455	0.10864446	0.13836183
a31	0.37082908	0.29953864	0.16845772	0.0851548	0.07601974
a46	0.16467229	0.3054512	0.11725055	0.24728487	0.16534106
a6	0.1733581	0.3588638	0.13517816	0.18907364	0.14352626
a31	0.18907124	0.33142197	0.1215783	0.21311	0.14481854
a15	0.27855787	0.11744841	0.079561256	0.24822704	0.27620542
a20	0.27097964	0.101005696	0.08478101	0.2628507	0.280383
a31	0.05922119	0.0851306	0.051590882	0.22160135	0.582456
a17	0.20016773	0.114537485	0.102542356	0.20066552	0.38208696
a31	0.061804358	0.05761889	0.031457193	0.1728927	0.67622685
a13	0.12997569	0.059849456	0.11137735	0.17069273	0.5281048
a39	0.0314761	0.04355339	0.033797268	0.35246202	0.5387112
a46	0.018683827	0.06451649	0.07255731	0.40973237	0.43451
a31	0.018528217	0.063464575	0.058950346	0.45748392	0.401573
a18	0.1878572	0.035801955	0.14411259	0.2026227	0.42960557
</S>	0.050367963	0.041803695	0.09443736	0.22983839	0.5835526
