 	il	morto	lo	piangono	lo	piangono	tutti	i	familiari	</S>
a8	0.2137376	0.096735656	0.08443404	0.069208376	0.06870967	0.025309324	0.026943834	0.031667423	0.061412487	0.32184163
a31	0.19583233	0.18175726	0.16544363	0.118316144	0.04286608	0.031987265	0.0332233	0.037522767	0.14452346	0.048527736
a39	0.1707889	0.24371809	0.16135141	0.12229487	0.04552911	0.029234966	0.036029678	0.043393392	0.09652538	0.051134244
a31	0.20671721	0.4544956	0.101241566	0.035430852	0.032193627	0.0067097647	0.035623975	0.029389862	0.063381486	0.034816034
a27	0.054344118	0.23967771	0.060089033	0.12089146	0.10435566	0.075114146	0.112472065	0.03112474	0.06466173	0.13726929
a11	0.02683389	0.12781794	0.06771757	0.03846232	0.07873941	0.05417119	0.25161496	0.03968046	0.08857723	0.22638498
a37	0.03595272	0.13571915	0.054029293	0.16240126	0.13750827	0.05593766	0.15484044	0.016702382	0.07895718	0.16795161
a31	0.04607803	0.1637532	0.06930894	0.17127591	0.12410544	0.033448935	0.10819306	0.018168002	0.11906131	0.14660722
a3	0.037278	0.093572535	0.05526656	0.116074994	0.11186386	0.062698044	0.13955942	0.026634473	0.12695615	0.2300959
a20	0.0097702285	0.06617696	0.06826549	0.16193299	0.16656053	0.100652374	0.0818538	0.025993615	0.08019086	0.23860312
a31	0.0135678	0.07165827	0.05701412	0.23155485	0.18569408	0.05749708	0.048048615	0.016145762	0.10399986	0.21481949
a11	0.048111893	0.074813284	0.07541084	0.17017587	0.08723221	0.05066451	0.059894674	0.046122294	0.12838769	0.25918677
a31	0.013256895	0.0638876	0.11519933	0.2309102	0.12586004	0.06225637	0.04553567	0.016367083	0.06156229	0.26516458
a29	0.047311023	0.08258922	0.07448266	0.13226795	0.07325637	0.045854215	0.05709943	0.058397666	0.16887334	0.25986812
a39	0.011485941	0.10973934	0.12287085	0.1376556	0.079799265	0.050312057	0.06883689	0.020903196	0.09174799	0.30664885
a21	0.007044959	0.08795878	0.08851706	0.12655565	0.07266054	0.04295098	0.043770574	0.012612211	0.051651962	0.46627727
a31	0.0103023	0.056504615	0.076134086	0.1613573	0.07809602	0.044961803	0.01989152	0.01757822	0.12150953	0.41366467
a37	0.048920076	0.08693542	0.064322166	0.0897725	0.070491925	0.049648434	0.05962377	0.08255929	0.2162753	0.23145115
a31	0.0154909585	0.1243229	0.094031446	0.08121684	0.053018644	0.047659736	0.038668957	0.03584342	0.1687224	0.34102473
a7	0.027016234	0.09134658	0.055650678	0.055720728	0.055208642	0.06667619	0.059332065	0.115450606	0.25353783	0.22006038
a31	0.010604862	0.1499072	0.045280013	0.03535952	0.02457215	0.0380405	0.05584917	0.08322386	0.20303248	0.3541302
a23	0.015372235	0.07476572	0.05234438	0.047339045	0.052575592	0.07770914	0.056014188	0.12636535	0.24519283	0.25232154
a13	0.016623562	0.111295104	0.032356113	0.029304104	0.037528135	0.05332529	0.060897734	0.103908055	0.19698976	0.35777214
a3	0.0065207174	0.06762506	0.028411167	0.028724905	0.02855755	0.044882283	0.06078402	0.08328028	0.44464102	0.20657302
a20	0.0047233445	0.057942964	0.026945544	0.029729906	0.027367823	0.065365314	0.06418175	0.08881098	0.29301646	0.3419159
a31	0.0026143175	0.019910976	0.023664089	0.040700283	0.04835513	0.10040547	0.055462554	0.08520133	0.14928173	0.47440416
a46	0.017194228	0.07861855	0.046791337	0.033200625	0.04362389	0.06277286	0.042008895	0.12270142	0.17825699	0.3748312
a31	0.0033697672	0.032933734	0.014375959	0.013137787	0.015995605	0.041562263	0.029539252	0.15220092	0.38570023	0.31118447
