 	non	ha	da	mangiare	</S>
a31	0.1564217	0.32536057	0.22596622	0.10400334	0.18824814
a20	0.18618228	0.48164827	0.24844518	0.05223233	0.031491887
a31	0.44682974	0.26230675	0.15348141	0.08595067	0.051431444
a41	0.3624522	0.30166203	0.10202712	0.19243209	0.041426446
a10	0.22317514	0.27676922	0.11863421	0.3261081	0.05531342
a31	0.21750768	0.22617583	0.19349171	0.22177285	0.14105193
a15	0.20499897	0.5714757	0.053766318	0.077437095	0.09232187
a31	0.15785545	0.50578445	0.085992314	0.11705655	0.13331121
a39	0.06798599	0.5088384	0.0288418	0.08760304	0.30673087
a37	0.029767316	0.10727186	0.032337148	0.34049702	0.49012667
</S>	0.03793296	0.15392537	0.03443384	0.36829546	0.40541238
