 	sto	e	cucino	</S>
a31	0.5364727	0.161186	0.083510935	0.2188304
a20	0.52321064	0.24676038	0.12729019	0.10273877
a31	0.56482285	0.32166862	0.0818915	0.031617086
a37	0.60491854	0.2624356	0.11617958	0.016466336
a18	0.39336103	0.2522389	0.27880684	0.075593315
a31	0.39175048	0.14221786	0.21028861	0.25574303
a20	0.5696344	0.13051347	0.15927325	0.14057885
a31	0.24746637	0.22551434	0.1997104	0.32730892
a28	0.25417757	0.0584466	0.22807601	0.45929983
a33	0.14032713	0.09447953	0.11214745	0.6530459
a31	0.26376095	0.06737594	0.1399433	0.52891976
</S>	0.016204182	0.020171523	0.0598138	0.9038105
