 	che	non	li	aspetiamo	</S>
a20	0.26973727	0.36001712	0.3271012	0.018574717	0.024569687
a8	0.10129951	0.059157055	0.17706509	0.39847124	0.26400715
a7	0.15384848	0.080943406	0.15888567	0.3274948	0.2788276
a35	0.31644538	0.30891883	0.21573098	0.09389447	0.06501032
a46	0.16051371	0.28053358	0.28159636	0.145515	0.13184129
a31	0.2192872	0.3577882	0.25487852	0.1382717	0.029774396
a11	0.16614445	0.31592417	0.31225732	0.12938383	0.076290116
a31	0.07726758	0.31281972	0.16644825	0.18417744	0.25928703
a0	0.2034809	0.287825	0.33141664	0.060531344	0.11674608
a31	0.09893944	0.32891652	0.1284193	0.09349285	0.35023192
a30	0.19220372	0.13590987	0.19997217	0.17949682	0.29241744
a0	0.111235686	0.08368372	0.05830649	0.08851296	0.6582612
a31	0.079367995	0.0981342	0.028222753	0.085947946	0.7083272
</S>	0.081487015	0.06483166	0.053293094	0.09976963	0.70061857
