 	ho	scritto	una	lettera	al	mio	fratello	</S>
a10	0.08152468	0.07238221	0.07208969	0.12434587	0.057152282	0.22263072	0.25358596	0.11628858
a31	0.43480998	0.22881885	0.089905724	0.06649408	0.04156445	0.042182863	0.04511957	0.05110439
a37	0.4235672	0.23136444	0.07485714	0.066213176	0.026327778	0.04297359	0.069308594	0.06538802
a31	0.47560656	0.28742197	0.08674738	0.02985138	0.010370917	0.023317361	0.039474346	0.047210198
a20	0.5498246	0.29064476	0.05714953	0.024382541	0.020956475	0.010721573	0.009856378	0.03646417
a31	0.22945175	0.28658798	0.20298511	0.038459577	0.012826374	0.007602615	0.091238655	0.13084792
a20	0.3986027	0.17109422	0.119598106	0.050294627	0.054300245	0.06897577	0.05175033	0.08538402
a13	0.1857316	0.19413117	0.07469141	0.018390182	0.0075121243	0.014942664	0.23325004	0.27135083
a20	0.17403759	0.15554711	0.042706225	0.009925156	0.0063439156	0.022074066	0.19770893	0.3916569
a24	0.15056482	0.16643341	0.060088553	0.0096636545	0.0073036924	0.024673464	0.15888529	0.42238715
a31	0.16662025	0.19755267	0.06269373	0.008995976	0.007519419	0.024059672	0.114068545	0.41848975
a0	0.19722244	0.09115967	0.02390595	0.014129639	0.0054410635	0.022630405	0.1385363	0.5069745
a35	0.06593393	0.0745247	0.017275138	0.0049022515	0.0043731583	0.060743656	0.2550716	0.5171755
a0	0.050255187	0.034209013	0.028061619	0.014459324	0.069612265	0.06826969	0.46486053	0.2702724
a31	0.038624596	0.020923784	0.018291714	0.015871651	0.11109603	0.204992	0.22864404	0.36155617
a11	0.002517619	0.00219661	0.0019177728	0.0028995126	0.0027430118	0.045338128	0.41407096	0.5283163
a20	0.002039649	0.00189616	0.0014909233	0.0016443649	0.02035176	0.05184608	0.47863382	0.44209725
a41	0.0035865204	0.0036869445	0.0030501941	0.00837838	0.03184513	0.107773826	0.5091369	0.33254212
a10	0.002563739	0.003179324	0.0050580455	0.011220914	0.035631455	0.1378822	0.49939433	0.30506998
</S>	0.0036503458	0.004915064	0.009575766	0.018622627	0.050443817	0.1845852	0.40326363	0.32494348
