 	il	cibo	vuole	mangiato	appena	lo	cucini	</S>
a8	0.090945564	0.12007586	0.095040955	0.10396625	0.025828728	0.05495182	0.108556695	0.40063408
a31	0.06624609	0.56346124	0.262072	0.046238836	0.011552152	0.010957202	0.02592021	0.013552312
a39	0.112054594	0.37042636	0.37876114	0.07695492	0.011275341	0.011097452	0.025427697	0.014002477
a21	0.2585319	0.37748224	0.2556887	0.065847576	0.009984012	0.011179771	0.010029207	0.011256636
a31	0.27135473	0.2170117	0.2109005	0.16873702	0.039249055	0.026898094	0.015245479	0.05060336
a37	0.38866273	0.20150997	0.15196456	0.1250147	0.033368316	0.017250825	0.028756365	0.053472545
a31	0.24676783	0.16832584	0.119739935	0.11516125	0.05354066	0.0447441	0.12571287	0.12600745
a41	0.0992205	0.3753122	0.11894052	0.072926514	0.01984547	0.014258004	0.08665643	0.21284032
a10	0.06075576	0.15631005	0.06269841	0.0634952	0.06989316	0.028361583	0.19109607	0.3673898
a31	0.088290505	0.09643779	0.10217675	0.1270622	0.10192021	0.096402004	0.17559144	0.21211915
a46	0.051976103	0.40647578	0.04285502	0.012793199	0.025224041	0.012705393	0.15891919	0.28905135
a20	0.0141793685	0.19531618	0.03200218	0.021168485	0.04381906	0.019485015	0.21089369	0.463136
a13	0.048951287	0.14108777	0.07852058	0.096116945	0.13380021	0.055411063	0.1282947	0.31781742
a31	0.114315756	0.11466017	0.078390166	0.08499224	0.09630746	0.05462027	0.21792057	0.2387933
a39	0.013186656	0.4179835	0.05261389	0.009035862	0.01365769	0.02431204	0.1252148	0.3439955
a16	0.007893319	0.21320356	0.05349715	0.021981705	0.05492596	0.04310283	0.17585698	0.42953846
a13	0.020316686	0.20714773	0.053474087	0.03716761	0.08411247	0.036963876	0.26238903	0.29842854
a31	0.033072364	0.1548067	0.02897147	0.019827113	0.08999291	0.043442417	0.38199633	0.24789073
a37	0.0038997226	0.24318221	0.017688256	0.005419461	0.020505963	0.04009265	0.29510894	0.37410283
a31	0.004570366	0.21234828	0.039936244	0.010004958	0.040900383	0.067556016	0.38680273	0.23788099
a8	0.0028608793	0.045929383	0.011108015	0.023090966	0.026167717	0.06911281	0.3106529	0.51107734
</S>	0.006102152	0.09634176	0.021923084	0.044024996	0.08971371	0.15683629	0.34745353	0.23760444
