 	stava	ancora	cucinando	</S>
a8	0.07632085	0.13534139	0.2675114	0.52082634
a46	0.10083735	0.103864826	0.29488903	0.5004088
a24	0.100136295	0.11785543	0.29530367	0.48670468
a37	0.13322924	0.2275405	0.2627973	0.376433
a20	0.14594033	0.10724197	0.22708331	0.5197343
a31	0.09067668	0.14868973	0.32630044	0.43433312
a37	0.19489631	0.41354403	0.26400602	0.12755373
a31	0.10422301	0.2263328	0.40955707	0.2598871
a20	0.13488546	0.51618093	0.18999459	0.15893897
a31	0.095030814	0.3622316	0.10378908	0.4389485
a6	0.062300984	0.11783515	0.3439412	0.4759227
a31	0.063598454	0.123808995	0.18052717	0.63206536
a20	0.01590185	0.07458921	0.55547804	0.35403088
a46	0.04896738	0.06429228	0.384365	0.50237536
a31	0.020246122	0.07226527	0.39406604	0.51342255
</S>	0.01785251	0.061684	0.32574904	0.59471446
