 	dovevo	comprare	il	pane	</S>
a31	0.29901898	0.28985992	0.1757215	0.085124485	0.15027505
a46	0.19859554	0.47909728	0.24080577	0.0527991	0.02870232
a31	0.35136157	0.34558186	0.1184974	0.07254281	0.11201631
a18	0.20052479	0.22062166	0.1148557	0.23899539	0.22500242
a13	0.14625308	0.2796929	0.13444202	0.19170803	0.24790397
a0	0.14398956	0.22836202	0.15468931	0.28423518	0.1887239
a20	0.16723004	0.19031544	0.2865918	0.2352209	0.12064179
a7	0.16336508	0.17753416	0.2840729	0.23338066	0.14164717
a20	0.13440128	0.14496928	0.21571867	0.31387705	0.19103369
a31	0.10453498	0.11737641	0.15156059	0.37318024	0.25334775
a11	0.106762305	0.11687459	0.07583651	0.25795496	0.44257164
a39	0.031222112	0.059477534	0.03802228	0.22818865	0.6430894
a31	0.02602133	0.058305096	0.054310217	0.28167748	0.57968587
a13	0.16691823	0.0607536	0.07810518	0.3478945	0.34632847
a17	0.018397616	0.012821196	0.02585944	0.45367464	0.48924708
a31	0.0141758295	0.012207088	0.023427263	0.37494257	0.5752473
a46	0.08448115	0.021569427	0.0371425	0.13588324	0.72092366
a20	0.015998907	0.0069102366	0.03414636	0.57453024	0.3684142
a31	0.013207478	0.0056427163	0.015041616	0.48189786	0.48421028
</S>	0.034185328	0.030214407	0.044837024	0.23753938	0.6532239
