 	mi	si	gonfiò	il	dito	</S>
a31	0.09655216	0.10557329	0.32244584	0.09514226	0.21681759	0.16346882
a11	0.18314913	0.41446167	0.11425057	0.11406636	0.06359793	0.11047428
a31	0.3949529	0.35590905	0.1379163	0.052573532	0.025416514	0.03323178
a15	0.3728787	0.36135754	0.13752857	0.059451688	0.030322108	0.038461387
a31	0.26148432	0.2640303	0.21873872	0.0750031	0.08878811	0.091955476
a0	0.3419569	0.44957793	0.067327484	0.04120345	0.06350171	0.03643251
a46	0.15139444	0.16395968	0.12592335	0.0352263	0.16287428	0.36062193
a31	0.2139859	0.23843852	0.1044187	0.029555527	0.06737027	0.3462311
a18	0.15054967	0.32593673	0.07213385	0.14651333	0.1734001	0.13146633
a31	0.14474699	0.24646834	0.03458231	0.025768088	0.13887401	0.40956032
a24	0.058446504	0.16674	0.039499056	0.080555364	0.3959659	0.25879318
a28	0.040651355	0.1808698	0.011554177	0.018848812	0.2486946	0.4993813
a13	0.040452726	0.058425326	0.010127594	0.017349109	0.6018838	0.2717614
a20	0.08619227	0.08528162	0.02376473	0.124902315	0.38557172	0.29428735
a17	0.075035825	0.06832614	0.03475811	0.3211763	0.26160243	0.23910117
a39	0.048241336	0.055945523	0.035792228	0.39719412	0.20575188	0.25707486
a20	0.043480035	0.060539763	0.040086742	0.35615912	0.21036346	0.28937086
a31	0.030386658	0.049705144	0.036057726	0.26178184	0.29750615	0.3245625
a41	0.0030839972	0.0041715116	0.0024062074	0.043206576	0.41006985	0.53706187
a8	0.0024266017	0.0041485606	0.0050812485	0.13985728	0.49239686	0.35608938
a37	0.004642171	0.023309855	0.030846493	0.102775045	0.5144674	0.32395908
a8	0.0011103917	0.007016697	0.009516953	0.15362923	0.51572335	0.31300336
</S>	0.00630063	0.023625718	0.048493326	0.08327429	0.4119234	0.42638257
