 	il	ladro	è	entrato	da	qui	</S>
a31	0.262735	0.08716984	0.1331682	0.097547494	0.05030262	0.21589524	0.15318167
a17	0.11017012	0.10856785	0.10394603	0.22499803	0.15868825	0.16550252	0.12812726
a37	0.2149825	0.074086756	0.043810084	0.22851653	0.117184065	0.18177497	0.13964508
a35	0.23801588	0.029670877	0.021377966	0.21781151	0.061600547	0.2480105	0.18351269
a18	0.18669851	0.043362014	0.035119526	0.12694094	0.04206393	0.31698045	0.24883465
a31	0.221349	0.061990973	0.038155455	0.39525083	0.04353031	0.0827976	0.15692583
a24	0.2472955	0.038557746	0.04454765	0.15834859	0.2519567	0.21927434	0.04001946
a31	0.20308837	0.044719633	0.039872896	0.07983062	0.20232695	0.20650731	0.22365418
a16	0.12773052	0.0799012	0.06462954	0.121962555	0.21500228	0.20853427	0.18223964
a31	0.04163919	0.029706156	0.02657167	0.02957388	0.11900061	0.30420396	0.44930446
a46	0.14153656	0.049595024	0.04206861	0.044011813	0.09205793	0.14540856	0.4853215
a31	0.033993017	0.018336033	0.013711236	0.024955746	0.058434144	0.23846799	0.6121018
a46	0.068911485	0.026322205	0.027205355	0.026837936	0.06594108	0.14653811	0.63824385
a31	0.015284719	0.0060966606	0.0053961677	0.01679551	0.04605712	0.39918336	0.5111865
a35	0.038712278	0.015755326	0.022246413	0.028524745	0.08025069	0.24866125	0.5658493
a31	0.005197247	0.0013064333	0.002817639	0.03542862	0.106707156	0.38502547	0.4635175
a8	0.02850964	0.008790947	0.02334134	0.05664143	0.08997498	0.2275893	0.56515235
a31	0.0030639428	0.0010197536	0.0042848294	0.06726492	0.14873357	0.3860685	0.3895645
</S>	0.021591615	0.0038791269	0.026826346	0.093282886	0.08538965	0.2790597	0.48997068
