 	non	ci	dimentichiamo	mai	</S>
a31	0.24410938	0.26178786	0.06544828	0.22163463	0.20701991
a20	0.19155937	0.14773892	0.19440165	0.2386458	0.22765426
a31	0.761295	0.04241299	0.0106352465	0.08049824	0.105158575
a11	0.6789916	0.027125947	0.014402206	0.1303482	0.14913201
a20	0.653968	0.023640815	0.0060471706	0.17452115	0.1418228
a31	0.45248497	0.055012956	0.011002583	0.17674606	0.30475336
a11	0.7268113	0.04521108	0.02563901	0.06404337	0.13829516
a31	0.28015006	0.03537156	0.003643974	0.12541005	0.55542433
a18	0.6283594	0.087542124	0.07880604	0.0626815	0.142611
a42	0.25808376	0.044285003	0.014875661	0.082363725	0.60039186
a31	0.22982419	0.01337856	0.0030537117	0.17398965	0.5797539
a18	0.19952916	0.12894365	0.16199443	0.12860367	0.38092914
a31	0.11631038	0.027375855	0.044829417	0.09287097	0.7186134
a39	0.1139347	0.06723434	0.19271849	0.19294462	0.43316785
a31	0.070496894	0.010725355	0.041313004	0.20133299	0.6761317
a20	0.035443626	0.049060486	0.14526525	0.3062351	0.4639955
a39	0.039172426	0.0074324687	0.0839559	0.43273664	0.43670255
a31	0.07223773	0.007505031	0.24241844	0.24682882	0.43100995
a14	0.010991046	0.015936404	0.0881992	0.21911895	0.6657544
a46	0.014738137	0.0060697044	0.15318342	0.53115046	0.2948583
a20	0.022601964	0.0069116107	0.51550466	0.28764924	0.16733257
a31	0.017346717	0.014271703	0.6634299	0.1348235	0.17012815
</S>	0.0051210504	0.0085441815	0.028482562	0.2902119	0.6676403
