 	essendosi	vestito	</S>
a46	0.184226977	0.763031885	0.052741187
a31	0.183331854333	0.744551335	0.072116859
a18	0.0984061644443	0.801597008333	0.099996853
a31	0.0686356824814	0.829828049444	0.101536274333
a20	0.0501222704938	0.845795649815	0.104082081444
a46	0.0233552514979	0.832797796605	0.143846950481
a20	0.0187090374993	0.800448922202	0.18084203016
a31	0.0153988723998	0.837631317401	0.146969798053
a0	0.0085185501666	0.8858125058	0.105668954018
a46	0.0137151471889	0.8862315686	0.100053301339
a35	0.0233480083963	0.8895114762	0.087140527113
a46	0.0262012211321	0.8848548454	0.0889439490377
a24	0.0222697698774	0.873541348467	0.104188876346
a46	0.0252317414591	0.867523749489	0.107244505449
a24	0.0275095434864	0.86940744983	0.10308301315
a31	0.0440823674955	0.865004883277	0.09091274405
</S>	0.0654420187477	0.860881891638	0.073676079525
