 	vuole	bianco	</S>
a20	0.27006203	0.66018553	0.0697524525
a31	0.259394966667	0.62437949	0.116225525833
a11	0.131167238889	0.7039591	0.164873631944
a31	0.098071782963	0.739561733333	0.162366443981
a39	0.082227880321	0.755951587778	0.161820487994
a20	0.0447724227737	0.777591595926	0.177635952665
a31	0.0406022142579	0.809352198642	0.150045544222
a39	0.0448654047526	0.810597666214	0.144536908074
a46	0.115391238251	0.714433422071	0.170175346025
a24	0.229358946084	0.617729207357	0.152911832008
a46	0.294642425361	0.569010222452	0.136347337336
</S>	0.31788216268	0.551413341226	0.130704493668
