 	quella	famiglia	non	ha	da	mangiare	</S>
a20	0.86107495	0.0995833175	0.01588948745	0.004106223772	0.0024340861	0.0140585495	0.002853433185
a31	0.83054135	0.107553515833	0.00875426678333	0.00195249500533	0.00122883456667	0.0468058045	0.00316379135167
a37	0.795246083333	0.103346565278	0.00722426309444	0.00142624976844	0.000992778212223	0.0874395015	0.00432458818389
a31	0.787773961111	0.0856276700927	0.00610049036481	0.00163627978948	0.000972957594074	0.112909247167	0.00497939412796
a13	0.67787050037	0.0868275383642	0.00741922895494	0.00216231332983	0.00137064819802	0.209657422389	0.0146923392093
a31	0.600611913457	0.0846861181214	0.0123563593183	0.00524139950994	0.00260294089934	0.269610610796	0.0248906610698
a43	0.480693041152	0.115555171374	0.0134159999061	0.00600347900331	0.00286997179978	0.346587060265	0.0348752703566
a31	0.370517333717	0.143554827125	0.018637281102	0.00699542483444	0.00532912909993	0.408376990088	0.0465890084522
a20	0.305105184572	0.304843042375	0.0185598336673	0.00701004053815	0.00583547227331	0.321251186696	0.0373952014841
a31	0.269585061524	0.434968647458	0.0171095798558	0.00463805977272	0.00429471766444	0.246892958899	0.0225109574947
a11	0.259350108508	0.447267092486	0.0166592130519	0.00394927892424	0.00396967031148	0.251223062966	0.0175816034982
a31	0.287588464169	0.477305174162	0.0109719714506	0.00266304007475	0.00274433399383	0.207105004322	0.0116220529661
a30	0.29721159139	0.415488051387	0.0103567389169	0.00301970619158	0.00380119126461	0.251135431441	0.018987305122
a31	0.312293250463	0.392616157129	0.010469155739	0.00387149713053	0.00512591345487	0.253923862147	0.0217001217073
a42	0.509065850154	0.34676437571	0.0107189830797	0.00445827157684	0.00450172705162	0.112325915716	0.0121648475691
a20	0.415886301385	0.297704781903	0.0127003505266	0.00818839372561	0.00987404801721	0.198953575239	0.056692519523
a31	0.432020685128	0.240782970634	0.0163557885089	0.0106845051419	0.0127731256724	0.216680059746	0.0707027999743
a20	0.437125488376	0.201255383545	0.0197997768363	0.0136543589473	0.0160325905575	0.223288447915	0.0888438901248
</S>	0.259537834188	0.205960586773	0.0237943199182	0.0181728494736	0.0229456217788	0.330555903958	0.139032830062
