 	i	genitori	non	li	dimentichiamo	mai	</S>
a33	0.97834343	0.00032065845	0.0052706618	0.000569507755	0.00124624325	0.01223997115	0.00200953275
a31	0.98371651	0.000225552616667	0.00220926668	0.000218923325	0.00070742139	0.01154944105	0.00137291207
a8	0.97828854	0.000165017752222	0.00115483944	0.000124301085	0.000895446236667	0.0164691056833	0.00290277011
a31	0.97648037	0.000224989114074	0.000771187946667	9.1277705e-05	0.000918565578889	0.0181016337611	0.00341198660333
a8	0.95756269	0.000268480948025	0.000736948248889	9.5492045e-05	0.00225304329296	0.0296567904537	0.00942651276778
a31	0.945442396667	0.000638690309342	0.0011888023163	0.000158894368333	0.00293764031099	0.0368300478179	0.0128034812559
a46	0.810048818889	0.000817571286447	0.00221377770543	0.000238011069444	0.0121063189837	0.129638703606	0.0449368124186
a31	0.72093235963	0.00192045367882	0.00858904573514	0.00117907962315	0.0205300216612	0.180901089535	0.0659480308062
a39	0.586088259877	0.00223257557961	0.010917398245	0.00146107946438	0.0237897115537	0.300561518178	0.0749495402687
a31	0.535356259959	0.00165946097987	0.0128133960817	0.00139140434479	0.0242946171846	0.347251418059	0.0772334677562
a24	0.501783416653	0.00142935610329	0.0140022724939	0.00134257854826	0.0254042787282	0.383220951353	0.0728171469187
a15	0.246169992218	0.000535909651097	0.0075750264313	0.00053325807942	0.0277997549094	0.630424017118	0.0869620289729
a31	0.385849154073	0.000919676957032	0.00813578044377	0.000542883589807	0.0198112333031	0.518891472373	0.0658497996576
a28	0.430739666024	0.00105842002568	0.00792288118126	0.000547686743269	0.014746554101	0.492584457458	0.0524003585525
a31	0.431592936675	0.00135430348189	0.00708069926042	0.000542419827756	0.0127805077003	0.498815235819	0.0478339281842
a18	0.462154238892	0.00155676019396	0.00693699922014	0.000621579522585	0.0127724219001	0.472546578606	0.0434114227281
a31	0.494178172964	0.00240289686465	0.00595731454005	0.000722605654195	0.0118318373	0.448064756202	0.0368424202427
a20	0.543135384321	0.00339066878822	0.00690819501335	0.00146212231807	0.0193606937667	0.381081298734	0.0446616727476
a11	0.421479128107	0.00353253902941	0.00673663503778	0.00263936083936	0.0358497285889	0.458542566245	0.0712200542492
a13	0.471162182702	0.00516351867647	0.00732952021259	0.00372348361312	0.0432678365296	0.390577255415	0.0787762014164
a17	0.594931344234	0.00751879109216	0.00718422927086	0.00405217363771	0.0398854301765	0.277419561805	0.0690084904721
a20	0.639822631411	0.0123608950307	0.00857710995695	0.0053677796459	0.0406423300588	0.221544297268	0.0716849634907
a39	0.63980739047	0.0186043823436	0.0106615679857	0.00691326154863	0.0422923533529	0.204475889089	0.0772451278302
</S>	0.671202715235	0.0212941736718	0.0110384239928	0.00706494577432	0.0387598056765	0.180270779544	0.0703691239151
