 	devo	pulire	l'	albero	</S>
a39	0.31737172075	0.225941035	0.385944355	0.063881531	0.006861343
a31	0.330832173583	0.276142588333	0.317204488333	0.063140041	0.012680708
a35	0.150958684528	0.321755212778	0.419271749444	0.0796006536667	0.0284137
a31	0.0945081938427	0.368207967593	0.429233336481	0.0790756478889	0.0289748806667
a20	0.0580246039476	0.354625485864	0.483889078827	0.0673853496296	0.0360755228889
a31	0.0336698186492	0.238101201955	0.627715426276	0.0598093152099	0.040704276963
a37	0.0196638435497	0.181124990652	0.707652775425	0.0532770867366	0.0382813179877
a1	0.0167446448499	0.219241130217	0.691351081808	0.0287633375789	0.0438997943292
a20	0.0256865632833	0.300869893406	0.598208327269	0.029935601193	0.0452996247764
a31	0.0232797585944	0.277035587802	0.63279861909	0.0311664963977	0.0357195390588
a39	0.0121231558648	0.238503852601	0.67802935303	0.0333722881326	0.0379713238196
a10	0.0099829601216	0.323843987534	0.570344517677	0.0466587107109	0.0491697879399
a29	0.0099214012072	0.413340282511	0.484955075892	0.0520717015703	0.0397115073133
a46	0.00878867023573	0.44713408417	0.454986801964	0.0561326688568	0.0329577577711
a31	0.00954115641191	0.35937255139	0.569299237321	0.0417635043856	0.020023525657
a20	0.0082904509373	0.275581750463	0.638294939107	0.0512743245619	0.026558537619
a13	0.0047532229791	0.305238896821	0.577529296369	0.0797797765206	0.032698839873
a20	0.0039070044597	0.327959412274	0.556035832123	0.0862570985069	0.0258406639577
a31	0.0203936617532	0.275499807425	0.611651310708	0.0721892835023	0.0202659451526
a11	0.0262656654177	0.255310465808	0.622340886903	0.0759384005008	0.0201445755509
a17	0.0124351564059	0.285604771936	0.578221845634	0.102462286834	0.0212759166836
a20	0.0084170932353	0.296989300645	0.572277615211	0.106919523945	0.0153964537279
</S>	0.00737993261765	0.317663480323	0.550907607605	0.107485244472	0.016563716864
