 	vuole	pianto	</S>
a39	0.021819925	0.950667875	0.0275122075
a31	0.0163889233333	0.964802541667	0.0188085291667
a41	0.00738558184443	0.976504030556	0.0161103520556
a31	0.00525894468148	0.981051310185	0.0136897350185
a37	0.00428485407716	0.979098090062	0.0166171063395
a11	0.00242569897572	0.963777550021	0.0337968224465
a39	0.00262765385857	0.954317916674	0.0430544754822
a31	0.00713205538619	0.961747425558	0.0311205074941
a46	0.0108356651287	0.967048628519	0.0221156631647
a31	0.0340292390429	0.938025276173	0.0279454797216
</S>	0.0577531645215	0.907994838086	0.0342520283608
