 	è	pericoloso	di	nuotare	nella	notte	</S>
a31	0.02968585445	0.43171936	0.473946495	0.0034408969	0.058076446	0.00225050085	0.0008803803
a20	0.0366281754833	0.462438343333	0.423774108333	0.00316076166667	0.0663970966667	0.00474333228333	0.00285815216667
a31	0.0318132574944	0.439335197778	0.449665939444	0.00268582875556	0.0674268435556	0.00547060592778	0.00360231065556
a37	0.0247704038315	0.426268892593	0.430113569815	0.00258342761852	0.0907150845185	0.0153209048093	0.0102276961519
a31	0.0112514646105	0.452363154198	0.375455563272	0.00231271037284	0.125646314839	0.0204298719364	0.012540911284
a30	0.00509896705683	0.405414714733	0.336329551091	0.00197620685761	0.19107242828	0.0427406243121	0.0173675016613
a13	0.00223802913894	0.396482078244	0.231318860364	0.0021988403192	0.26521000276	0.0753330147707	0.0272191918871
a20	0.00157594767965	0.385483859415	0.217094593455	0.0038196177064	0.286365854253	0.0787624849236	0.026897674629
a41	0.00174874352655	0.363758059805	0.267634747818	0.0073977003688	0.273665678084	0.0643367249745	0.0214583598763
a33	0.00181703484218	0.356463769935	0.322314959273	0.00866235245627	0.256295819361	0.0423478436582	0.0120982206254
a31	0.00152158231406	0.302761023312	0.267253909758	0.00547390081876	0.37966507312	0.0370859575527	0.00623853197513
a41	0.00196122117135	0.229140984437	0.241046106586	0.00530242060625	0.454633237707	0.0554642301842	0.0124517697584
a0	0.00253093589045	0.218016798146	0.313186225529	0.00785035820208	0.382285725902	0.0598575383947	0.0162724185861
a31	0.00327075993015	0.216574606049	0.284666385176	0.00640223810069	0.438063895301	0.0422831411316	0.00873897619537
a24	0.00494107597672	0.19946807535	0.267974361725	0.00558053440023	0.465882251767	0.0460014423772	0.0101522590651
a31	0.00673283109224	0.20681762845	0.264506657242	0.00574239530008	0.462300797256	0.0434198257924	0.0104798627884
a20	0.0105835053641	0.19124421815	0.222762422414	0.00532180010003	0.523203179085	0.0363535382641	0.0105313343628
</S>	0.013591792682	0.155103592075	0.235235931207	0.00597771180001	0.532999239543	0.042106829132	0.0149849291814
