 	voleva	un	bar	con	un	forno	che	fa	buoni	rustici	</S>
a20	0.0446601135	0.052551243	0.139893535	0.0657848785	0.1060217175	0.130542737	0.071243752	0.040649867	0.29047869	0.057838521	0.0003348865
a31	0.0427590798333	0.0465410223333	0.104039148333	0.114134191167	0.1093339025	0.146752307	0.112985847333	0.035067015	0.24932843	0.0384529396667	0.000606083926667
a20	0.0334848686111	0.0428492787778	0.105082062778	0.116460497056	0.102781509167	0.141402662333	0.114646147778	0.0291589006667	0.279929476667	0.0335072575556	0.000697297742222
a17	0.033706360537	0.0480467129259	0.134083340926	0.115309882352	0.095981786389	0.116353200778	0.0843891545927	0.0243592172222	0.321627115556	0.0254171081852	0.000726087947407
a31	0.032067867179	0.0532812923086	0.120241640309	0.125882788784	0.109011928796	0.141776380259	0.106234931531	0.0231129470741	0.252702708519	0.0349487583951	0.000738784425802
a20	0.036409056393	0.0566942121029	0.150249763436	0.0982019275947	0.112211492932	0.13711636342	0.094152167177	0.0216434410247	0.259408276173	0.0334686947984	0.000444640798601
a31	0.0384124387977	0.0605583773676	0.194239497812	0.0709063748649	0.103514257644	0.11315154114	0.0630856257257	0.0186287743416	0.306254748724	0.0309851545995	0.0002632447162
a13	0.0350850482659	0.0620116724559	0.201939099271	0.067869778955	0.102712187548	0.110317927047	0.0542707759086	0.0165431847805	0.316579139575	0.0324126871998	0.000258532818733
a10	0.0464976247553	0.075999079152	0.19759768309	0.0768485013183	0.139168280849	0.131209689016	0.0492859746362	0.0141305112602	0.245071769858	0.0239756647333	0.000215211279578
a1	0.0672240835851	0.0957476447173	0.18102564103	0.0720171771061	0.187418953616	0.160268219672	0.0490961622121	0.0151306237534	0.146946969953	0.0249649729111	0.000159523213193
a35	0.0799788298617	0.100453784906	0.17226974701	0.0681537223687	0.211543361205	0.171100056557	0.043462267404	0.0166024899178	0.109604489984	0.0266647673037	0.000166480521064
a3	0.0822416266206	0.096655888302	0.182642192337	0.0607674374562	0.210672777068	0.166489028852	0.038073975468	0.0162940299726	0.121232699995	0.0247616387679	0.000168709287021
a8	0.0752528635402	0.088799089434	0.202336790779	0.0482469848187	0.198088035689	0.157932092951	0.033088993156	0.0153794649909	0.157406606665	0.0232863379226	0.00018273827234
a14	0.0670147295134	0.0681570298113	0.18193231026	0.0607240526062	0.229076988563	0.19776606765	0.0327701307187	0.0126677466636	0.133199207222	0.0165652477742	0.000126476991113
a31	0.0532465198378	0.0498852259371	0.16792845342	0.0593721795354	0.214733129521	0.196830809217	0.0300187889062	0.0109592715545	0.194818474074	0.0220579580581	0.000149193717371
a10	0.0365523166126	0.038496187979	0.220447807807	0.0351067398451	0.17256728984	0.159999829739	0.0224549669687	0.00963186018483	0.280875884691	0.0237082655527	0.000158851679457
a14	0.0267619958709	0.0244515283263	0.275527495936	0.028250078615	0.189831846613	0.179398433246	0.0166661956562	0.00669399106161	0.243094501564	0.00926252638423	6.13938486523e-05
a31	0.017807829957	0.0145328858754	0.232843058645	0.0213622358717	0.154353939538	0.151271750415	0.0114882915521	0.0049868328872	0.382570047188	0.00873881146141	4.42866530508e-05
a17	0.0100954748523	0.00805036415847	0.170502029548	0.0112941374239	0.0821368795127	0.0815418341383	0.00617433238403	0.0034244622624	0.618169989063	0.0085735983538	3.68856716836e-05
a20	0.00598714781743	0.00457159418616	0.175952089849	0.00834368327463	0.0686922488376	0.0750869827128	0.00461287652801	0.0024192879208	0.650054916354	0.0042538869846	2.53012285612e-05
a13	0.00496502427248	0.00379232622872	0.203208383283	0.00815264342488	0.0738168762792	0.0838737309043	0.00450756280934	0.0024055998736	0.611423822118	0.00381974956153	3.42799001871e-05
a31	0.00448021875749	0.00299557010957	0.161557265428	0.00567907950829	0.0526538587597	0.0560640461348	0.00295899306978	0.0019170336912	0.708578637373	0.00308902955384	2.62638667957e-05
a24	0.0042817152525	0.00245946043652	0.108306532809	0.0072405825361	0.0451455595866	0.0488489878783	0.00300377838993	0.0015427540304	0.776703959124	0.00244640768461	2.02804923319e-05
a28	0.00588231775083	0.00459983231217	0.145439680936	0.0111746981787	0.0673299811955	0.0713145692928	0.00516717256331	0.0028102075768	0.679732286375	0.00645676526154	9.24960991106e-05
a37	0.00809686225028	0.00749839577072	0.192023946979	0.0129876233929	0.0850069697318	0.0832326430976	0.00671036495444	0.00426541685893	0.588072662125	0.0119151454205	0.000189964183037
a31	0.00723691308343	0.00615285645691	0.157074098993	0.0101534357976	0.0666223505773	0.0625153170325	0.00511030495148	0.00340152505298	0.672220177375	0.0093647500235	0.000148305453912
</S>	0.00577845554172	0.00403962702846	0.110639374497	0.0067218543988	0.0434517592886	0.0383282875163	0.00305990542574	0.00207074617649	0.780781423687	0.00505345283675	7.5169746306e-05
