 	siete	cucinato	</S>
a20	0.82638735	0.16961831	0.00399437255
a31	0.825353036667	0.170290326667	0.00435666485
a18	0.768269342222	0.222404388889	0.00932627995
a21	0.635852190741	0.34914899963	0.0149988053167
a37	0.466286386914	0.516936979877	0.0167766477722
a21	0.277109462305	0.705112939959	0.0177776472574
a31	0.185506867435	0.790125659986	0.0243675144191
a18	0.167206352478	0.800540186662	0.032253463473
a31	0.191512877493	0.743642812221	0.064844306491
</S>	0.221938888747	0.681911831111	0.0961492932455
