 	se	vieni	alle	sette	se	no	non	vieni	più	che	non	mi	ha	</S>
a31	0.0124298295	5.80233825e-06	0.01477320855	0.01915136072	0.1922624265	0.530155275	0.19534523	0.000699841835	0.00304055523	0.01605673925	0.00588220017	0.00757561964	0.001802149035	0.0008197667795
a20	0.0133688548333	5.74240911667e-06	0.02007964685	0.0393969535733	0.280956408833	0.446111441667	0.151963626667	0.000820844111667	0.00431228351	0.0247155334167	0.00697314919	0.00839948188	0.00195309687833	0.0009429404265
a13	0.0162752956111	3.28851963889e-06	0.0213658386167	0.0535473985244	0.278779236278	0.456844880556	0.115710178889	0.000602004220556	0.00464475183667	0.0356481038056	0.00696346219667	0.00701642896	0.00151633342611	0.0010828171755
a31	0.013856300537	3.60554467963e-06	0.0199051475389	0.0443268278415	0.245634645426	0.482286093519	0.132840456296	0.000732297656852	0.00385571991222	0.0372539872685	0.00731230589889	0.00843535698667	0.00187169237537	0.0016856038585
a28	0.0176773698457	3.26959845988e-06	0.0151296238463	0.0297506359472	0.208910598475	0.545857984506	0.133757650765	0.000671493758951	0.00344979717074	0.0299395224228	0.00527881779963	0.00670727809556	0.00145645441179	0.00140950375283
a31	0.0211762132819	2.57920845329e-06	0.0112776772821	0.0192630855824	0.149365866158	0.627763748169	0.134512062255	0.000452101232984	0.00302596619025	0.0232252548076	0.00363841359988	0.00455197389852	0.000880101040597	0.00086492721761
a21	0.0188469847606	2.28934591776e-06	0.00810027709403	0.0110791511275	0.0967417220527	0.702634116056	0.134019447418	0.000379881384328	0.00354518983008	0.0165474276025	0.00302824526663	0.00370579273284	0.000716055310199	0.000653372539203
a31	0.0203802649202	2.02218357259e-06	0.00656885949801	0.00785196650917	0.0741929706842	0.724790538685	0.142097982473	0.000308162618109	0.00368329097669	0.0131205848675	0.00267205708888	0.00327392057761	0.0006032801834	0.000454013456401
a20	0.0160331785067	1.6892474242e-06	0.005230114866	0.00550821416972	0.0486417812281	0.770646332895	0.134550224824	0.000241806014036	0.00412870049223	0.0096877676225	0.00200847636296	0.0025482248592	0.000466520811133	0.000306894745467
a28	0.0084251154689	9.04118298067e-07	0.00483208518867	0.00613804842324	0.0382217574094	0.849125697632	0.0727287989413	0.000142212126012	0.00644565959741	0.0101741188742	0.00183021912099	0.00144870553307	0.000302917450378	0.000183777748489
a27	0.00511538782297	5.55584122689e-07	0.00428081572956	0.00578301764108	0.0292969801365	0.884919582544	0.0523653519804	9.44612886707e-05	0.00676075689914	0.00888021295807	0.00136014627366	0.000839050224357	0.000190396483459	0.000113314331163
a17	0.00444375127432	4.53017317563e-07	0.00359280524319	0.00475895431369	0.0237331973788	0.880082864181	0.0683660096601	9.27643415569e-05	0.00571836119971	0.00736056845269	0.00105194840455	0.000587842984786	0.00013327857782	7.7161369721e-05
a4	0.00437263619144	3.64771575854e-07	0.00295679408106	0.0042081885379	0.0186529971263	0.878980274727	0.0786612898867	8.82039081856e-05	0.0050576404999	0.0056483989509	0.000778113868183	0.000433508284929	0.000101407459273	6.01474375737e-05
a13	0.00514962816381	2.59728158618e-07	0.00261210902702	0.00401458151263	0.0129115543754	0.866597591576	0.0994406032956	9.61562083952e-05	0.00454505049997	0.0037621140503	0.000477908206061	0.000268259834976	7.40511464243e-05	5.01129858579e-05
a31	0.00619778082127	4.85384659539e-07	0.00209597457567	0.00244216660421	0.0107867471251	0.852427850525	0.120422767765	0.000107233196132	0.00249611299999	0.0023297774501	0.000321342755354	0.000281904998325	5.65029754748e-05	3.33279086193e-05
