 	non	sapeva	dove	a	stare	</S>
a20	0.31853872943	0.01041827395	0.065721655	0.032222231	0.53938105	0.0337180835
a31	0.325226245477	0.0110749834167	0.0758016216667	0.033081253	0.516930816667	0.0378851191667
a37	0.117624409826	0.00598682457223	0.0701053505556	0.026454578	0.754633322222	0.0251955407222
a38	0.0469825156087	0.00419270335741	0.0529785815185	0.0186625813333	0.863530680741	0.0136529582407
a31	0.0211930571196	0.0024097478458	0.0366810828395	0.0145546769778	0.917016716914	0.00814474161357
a41	0.0106741562899	0.00316748384193	0.0354717909465	0.0152478491926	0.925816505638	0.00962225607119
a10	0.00896400799663	0.00441680608064	0.0463433516488	0.0252595177309	0.898691488546	0.0163248723571
a20	0.00523679629888	0.00270502031355	0.0392056185496	0.0388678442436	0.892780182849	0.0212045517857
a9	0.00243972639963	0.00129122315785	0.0344355798499	0.0504241694145	0.88784496095	0.0235643419286
</S>	0.00186879004981	0.000965871428925	0.0347246669249	0.0531501917073	0.885119530475	0.0241709544643
