 	io	al	mio	fratello	non	gli	lo	scrissi	mai	una	lettera	al	mio	fratello	</S>
a31	0.418395575	0.050294362975	0.20766972	9.53630465e-05	0.0016162718	0.00072730093	0.035835156	0.1393537935	0.0425244755	0.00977796635	0.023248394	0.01321526035	0.05294184	0.00250732692	0.00179718695
a1	0.250024106333	0.058996818325	0.149195986667	0.0001338536955	0.0014787595	0.00083039692	0.037744604	0.307049051167	0.0670528265	0.0110940217833	0.0230254741667	0.01294750445	0.0746138216667	0.00313064154	0.00268211178333
a31	0.176400866778	0.0790893434417	0.120098772222	0.0001551557685	0.0012127467	0.000678328473333	0.033978078	0.368287833722	0.0734219388333	0.0113725579278	0.0266514338889	0.0150563804833	0.0856085355556	0.00408157708	0.00390642939444
a20	0.167247265593	0.0788069651472	0.104739281741	0.000158327152833	0.00112214216667	0.000603903714444	0.0298438905	0.379240274574	0.0775730949444	0.00981657720927	0.025013565163	0.0144017854611	0.103717221852	0.00390409469333	0.00381160926481
a31	0.244379645198	0.0333716723824	0.127054924914	0.000151245104278	0.00122133798889	0.000533457194815	0.0321498233333	0.323923624858	0.0797977969815	0.00628493396976	0.0224381035877	0.010082475287	0.113188817284	0.00270870213111	0.00271344768827
a46	0.312244348399	0.0173752626941	0.142782794971	0.000154617561426	0.00184401902963	0.00165739695494	0.0366014554444	0.226483554953	0.0807909056605	0.00536967142325	0.0214948520959	0.008567773729	0.139266669095	0.0027546811437	0.00261200299609
a31	0.391042956133	0.00791684973137	0.127966978324	0.000134095693809	0.00236587554321	0.00229549781831	0.0407618641481	0.177309009318	0.0710795518868	0.00564415457442	0.0229801742653	0.00832002370967	0.137812073032	0.00240107738123	0.0019698365987
a20	0.422555182044	0.00410052784379	0.160831169441	0.00011129297127	0.00408132218107	0.00455973577277	0.0414450390494	0.164822560773	0.0542252506289	0.00538266179147	0.0225915416218	0.00799879886989	0.103627741011	0.00216391339374	0.00150325586623
a31	0.436926037348	0.0025180970146	0.186435103147	9.99417937567e-05	0.00502439589369	0.00559525199092	0.0395706213498	0.159920713924	0.0432052802096	0.00398451309716	0.0147060267406	0.0051129649233	0.0939887470037	0.00175821259791	0.00115408771874
a32	0.462650525783	0.0024131506382	0.225782661049	8.88291179189e-05	0.00508477213123	0.00437468839697	0.0360283926166	0.136035178308	0.0318720317365	0.00322140801905	0.0118248772469	0.00401027797443	0.0743798123346	0.0013862414993	0.000847153802913
a11	0.361335761928	0.00213279074607	0.270172287016	7.47905526396e-05	0.00567681614374	0.00507306313232	0.0195220560389	0.222829292769	0.0298568155788	0.00158643289302	0.00454037749563	0.00165808880148	0.0732139141115	0.00140950179977	0.000917971300971
a31	0.367456393976	0.00163395444869	0.305655742339	7.07740522132e-05	0.00502825371458	0.00423023591077	0.029673350013	0.19017002159	0.0272049428596	0.00141353956434	0.00358952757854	0.00126401377716	0.0608900357038	0.00107008248992	0.000649095518324
a20	0.349229211325	0.00116217905623	0.329438147446	6.24162787377e-05	0.00413728540486	0.00292022300359	0.0313951935377	0.202215957863	0.0228193452865	0.00130266707478	0.00323881877285	0.00115048978572	0.0491709929013	0.00109366438664	0.000663407057441
a4	0.243406330442	0.00069206004541	0.334915429149	4.70380605792e-05	0.00371159640162	0.00241267466786	0.0147953750459	0.326447639288	0.0202416164288	0.00083036319826	0.00160036064762	0.000784564321907	0.0469864776338	0.00187268899555	0.00125580878581
a31	0.239672713481	0.000850407735137	0.42797264305	6.60005191931e-05	0.00336040556721	0.00187178575595	0.0126403803486	0.258352336429	0.0151637961429	0.000590019942753	0.00106250652587	0.000585408117302	0.0352015103779	0.00155384808052	0.00105622998127
a28	0.216020447827	0.00113992641171	0.429742301017	8.81223610644e-05	0.00296958595574	0.00133090305198	0.0125669884495	0.270868335476	0.0141904380476	0.000528105587584	0.00101838117529	0.000610410849101	0.045589554626	0.00194841910884	0.00138804421309
a31	0.197863725942	0.00132407137057	0.437717283672	0.000131512323688	0.00304949741858	0.00098103105066	0.0100495778165	0.281763485159	0.0132641383492	0.000489814599195	0.000950757551763	0.000621615983034	0.0482159623753	0.00207906260295	0.00149843063236
a18	0.192515815314	0.00178094172352	0.416545871224	0.000180745224563	0.00285968390619	0.000762919633553	0.0112568406055	0.269944428386	0.0145803084497	0.000624914819732	0.00122141341059	0.000770809127678	0.0829860949584	0.00228476036765	0.00168445200545
a8	0.176772781771	0.00294398107451	0.265474240408	0.000301591821521	0.00254786130206	0.000666101894518	0.0116602302018	0.371827242795	0.0195268691499	0.00102720427324	0.0017034022702	0.00113773054256	0.139105628319	0.00299554965588	0.00230961366848
a31	0.238421793924	0.0034419236915	0.330797253469	0.000606643240507	0.00356877410069	0.000526587608173	0.0082960622006	0.289975467598	0.0133267810833	0.000833052504413	0.0012546365634	0.000867258164187	0.104989873773	0.00172700460529	0.00136692857949
a8	0.270405917975	0.00373535739717	0.353826861156	0.000797504913502	0.00417604430023	0.000501830379391	0.00654889673353	0.255639052533	0.0110696623944	0.000819558448138	0.0010698934278	0.000804449171396	0.088282015591	0.0012780754551	0.0010449100165
a23	0.239653675992	0.00466380113239	0.241737250385	0.000826477084501	0.00353099823341	0.000603848259797	0.00849000177784	0.339035580844	0.0176225104648	0.00152155818271	0.00175929957593	0.00139598239047	0.135227451864	0.00209156058503	0.00183998447217
</S>	0.220271822996	0.0049241678162	0.199545130192	0.000855974362251	0.00324932091671	0.000684809029898	0.0101459103889	0.366266760422	0.0212029092324	0.00192823639136	0.00220755393797	0.00175349794523	0.162075025932	0.00257804004251	0.00231079723608
