 	il	lupo	non	cammina	mai	nemmeno	con	la	volpe	</S>
a39	0.00045387602	0.152273455	0.0115775595	0.284904045	0.1014444385	0.241457665	0.11476097	0.086312121	0.0066088405	0.000207005038
a3	0.000525000056667	0.148799025	0.0109566131667	0.377917421667	0.0739643538333	0.221233785	0.100631206667	0.056205271	0.00947237783333	0.000294905906
a39	0.000341780276889	0.181374898333	0.00955021722223	0.392005417222	0.0609440099444	0.193704465	0.101076728889	0.051723648	0.00904431727778	0.000234463965333
a3	0.00021204553363	0.218270086111	0.00968113557408	0.331000552407	0.0546821983148	0.203756378333	0.129978772963	0.0465673836667	0.00571841902593	0.000133002137111
a10	0.000218248387877	0.26684692537	0.013811246858	0.231685817469	0.0628235011049	0.219976369444	0.152871060988	0.0481527328889	0.00353947267531	7.46352187037e-05
a38	0.000355660822626	0.27134332179	0.0214267599527	0.168625059156	0.0790295137016	0.229959623148	0.169886123663	0.055693615963	0.00360351605844	7.68113805679e-05
a37	0.000434583740875	0.229165820597	0.0270690663176	0.132757513052	0.0944761112339	0.230364581049	0.217922001221	0.0632462719877	0.00445904245281	0.000105015223523
a24	0.000397444313625	0.189040436866	0.0271114744392	0.115093201017	0.102555932411	0.218592663683	0.27024132374	0.0712776959959	0.00550559725094	0.000184247444508
a31	0.000334147894542	0.181965688955	0.0229368286464	0.132986863672	0.10645022947	0.242208137894	0.228755141247	0.0791294186653	0.00502659818365	0.000206951768169
a3	0.000233121514847	0.173086672985	0.0154847837155	0.144744064557	0.103833589823	0.279209239298	0.204169940416	0.0754817875551	0.00358935532788	0.00016743057939
a20	0.000159575858282	0.131363617662	0.00982644407183	0.131471494852	0.0925385632743	0.320879859766	0.251535840139	0.0588179315184	0.00326027214263	0.000146396559797
a31	0.000105722556094	0.131897259221	0.00709684919061	0.141219458284	0.0943316527581	0.360455806589	0.200518010046	0.0619253195061	0.00235359938088	9.63397879323e-05
a11	6.96393960313e-05	0.124412356407	0.00517676859687	0.150418042761	0.0876192019194	0.388115138863	0.179918250015	0.062311022502	0.00187390752696	8.56902859774e-05
a7	4.24828876771e-05	0.088488125469	0.00336327983229	0.13734389092	0.0660949083065	0.455456942954	0.204892990005	0.0425618921673	0.00167721524232	7.82652539925e-05
a31	2.8972821559e-05	0.0943813051563	0.0026917250441	0.14659831364	0.0674625361022	0.470096817651	0.165532413335	0.0518181727224	0.00132584308077	6.39113026642e-05
a24	2.07070241863e-05	0.0935179757188	0.00215340068137	0.170899124547	0.0651528703674	0.446678539217	0.157600091112	0.0623228042408	0.00154392246026	0.000110574685555
a46	1.28117590621e-05	0.0666290625729	0.00161764882712	0.150778841516	0.0474054634558	0.521357056406	0.165126667037	0.0455064627469	0.00145048333009	0.000115505641518
a39	7.21782788737e-06	0.0497689175243	0.00118495110904	0.121302993839	0.0339814321519	0.634160985469	0.129267452346	0.029450478249	0.00081772481003	5.79022641727e-05
