 	sono	vestita	</S>
a31	0.395409915	0.59190966	0.012680472
a20	0.427499381667	0.54864218	0.0238584746667
a31	0.319599343889	0.652276426667	0.0281242592222
a41	0.195759592963	0.752052475556	0.0521879700741
a46	0.108691239321	0.790918191852	0.100390600025
a18	0.0709704717737	0.819510563951	0.109518976675
a24	0.0542688542579	0.855394087984	0.0903370655583
a31	0.0397408207526	0.878716882661	0.0815423085194
a11	0.0305512712509	0.894142747554	0.0753060061731
a0	0.0275769940836	0.914469249185	0.057953785391
a15	0.0294446660279	0.923554069728	0.0470012741303
a8	0.0335331730093	0.924140256576	0.0423265413768
a39	0.0345709186698	0.927639378859	0.0377897067923
</S>	0.0333405758349	0.930579759429	0.0360797313962
