 	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
a43	0.222654567	0.0012332780425	0.00255114797	0.01763139515	0.154400097	0.0129273319	0.022434647	0.120372755	0.1775973985	0.240589545	0.027607861
a20	0.255957652333	0.00137857213417	0.00292469092333	0.0216153773833	0.242328599	0.0216284039667	0.0370577273333	0.0955772983333	0.1109811485	0.181672965	0.0288775716667
a31	0.160813265444	0.000691751264723	0.00160622432111	0.0136164174611	0.198454579667	0.0237838669889	0.0627674321111	0.154734706111	0.1376585395	0.198823085	0.0470501418889
a39	0.0952103748147	0.000322704058241	0.00079793832037	0.0081580293537	0.143984776556	0.0197973509963	0.0707316673704	0.192456208704	0.162345093167	0.249907018333	0.0562888632963
a31	0.0871564099382	0.000220352229414	0.000496577183457	0.0052973948179	0.106980557185	0.0128103493321	0.0548803011235	0.211573299568	0.177620807722	0.296623639444	0.0463403347654
a46	0.0688413813127	0.000153700182471	0.000258557524486	0.0032929464393	0.0528917570617	0.0065696432107	0.0345280180412	0.198769673189	0.172615567241	0.429622013148	0.0324567645885
a37	0.0329182647709	7.93502834903e-05	0.000187560128162	0.0037725939131	0.0309719428539	0.00381737217023	0.0168355522137	0.127671186396	0.132996892414	0.630533357716	0.0202159361962
a31	0.0223222935903	0.000117926161163	0.000205229582721	0.00363124210437	0.0174299021846	0.00279073789008	0.0112436682712	0.153841170799	0.148535192805	0.627038555905	0.0128440537321
a13	0.0142565638634	0.000122671965054	0.000205637300907	0.00435352796812	0.0143316394615	0.00252515426336	0.00893916775707	0.154086506933	0.145970259268	0.644457635302	0.010751194244
a11	0.0330308466211	0.000130633223018	0.000504989166969	0.00787265055604	0.0171355214872	0.00286999755445	0.00678310491902	0.094386912311	0.115216271423	0.711593645101	0.010475405748
a31	0.039430240207	0.000159122104339	0.00060106573899	0.00754481968535	0.0132512636624	0.00276854691815	0.00799407130634	0.143471687437	0.154143157141	0.620634248367	0.010001747916
