 	mi	sono	vestito	</S>
a39	0.33385091	0.171768413	0.44626688	0.048113767
a11	0.377409743333	0.114765689667	0.438103346667	0.069721166
a13	0.196441909444	0.0880327505557	0.595884148889	0.119641130333
a18	0.0920730148147	0.0669322195186	0.653374716296	0.187619973444
a31	0.0488633372716	0.0578425178395	0.717293405432	0.176000671148
a37	0.0338496094239	0.0750280302798	0.704754788477	0.186367547049
a15	0.033534067808	0.140293415093	0.576005296159	0.250167215683
a31	0.0266295308027	0.132259495031	0.646582945386	0.194528021894
a46	0.0132150928009	0.073550591677	0.777540715129	0.135693600631
a31	0.029360925267	0.0578308972257	0.805521105043	0.10728707021
a20	0.0359826832557	0.0568871824086	0.821557391681	0.0855727384033
a31	0.0329293035852	0.0606340141362	0.82979343056	0.0766432544678
</S>	0.0429317182926	0.0561671070681	0.83473553028	0.0661656572339
