 	hai	già	mangiato	</S>
a38	0.64822655	0.3313429715	0.01826999725	0.0021604109
a31	0.68520201	0.2885431915	0.0241320595833	0.00212269016667
a20	0.68212265	0.2900318605	0.0258765952611	0.00196889757222
a31	0.5855706	0.373929796833	0.0387657628204	0.00173383337407
a27	0.54416358	0.409976615611	0.0435583197735	0.00230146182469
a31	0.542386273333	0.427603468537	0.0253261620912	0.00468410050823
a20	0.552879121111	0.417436364512	0.0226772576971	0.00700725850274
a31	0.786983673704	0.188817759837	0.0174288405657	0.00676974150091
a39	0.714428997901	0.164502713279	0.0982569078552	0.022811440167
a20	0.447776295967	0.209370141093	0.277801132618	0.065052468389
a10	0.239382801989	0.273603590364	0.375502724206	0.11151089613
</S>	0.177404120995	0.314237180182	0.376229262103	0.132129448065
