 	tu	quante	bottiglie	hai	rotto	dieci	</S>
a21	0.05005892	0.1746559755	0.291735172	0.3822635185	0.0977922867	0.00338857527	0.00010555019
a20	0.0502617676667	0.261556895167	0.463617337333	0.174960911833	0.0473978823667	0.00212665400333	7.85687866667e-05
a35	0.0442376062222	0.282944958389	0.521898345778	0.110136262944	0.0381903047889	0.00253434340111	5.81910822222e-05
a20	0.0388044590741	0.314216499463	0.532698681926	0.0819277033147	0.030196133263	0.0021158747337	4.06470930741e-05
a38	0.0576384996914	0.327536386488	0.479361210642	0.0997751177716	0.0337955577543	0.00185996494457	3.3232508358e-05
a31	0.0882568132305	0.272253602163	0.372394176881	0.179975485924	0.0809188425848	0.00611114341486	8.98917744527e-05
a18	0.0786227800768	0.257856860721	0.366143282294	0.199407666975	0.0910285618616	0.00684183930495	9.89848268176e-05
a23	0.0652261556923	0.26843271024	0.377927247431	0.222706547325	0.0627734716205	0.00288744743498	4.64030442725e-05
a24	0.0713827418974	0.251208346747	0.347600579144	0.266696519108	0.0612651288735	0.00181047541166	3.62146927575e-05
a37	0.0658739572991	0.267615085582	0.371292183048	0.249821746369	0.0441307902912	0.00123275925055	3.35039312525e-05
a20	0.0587715037664	0.264887485194	0.392364424349	0.255791195456	0.0270453480971	0.00104847836352	9.15439694175e-05
a31	0.0408406895888	0.182858445731	0.29435255145	0.408720221819	0.0714588483657	0.00165799692117	0.000111210845139
a20	0.0356256035296	0.139543062577	0.23650267715	0.46889451394	0.108873732789	0.00939383984039	0.00116652843705
a33	0.0368129505099	0.125590665192	0.214922795717	0.50731107798	0.100657517596	0.0131249374135	0.00157997325902
a31	0.03075777517	0.0700568927307	0.114891221906	0.675269159327	0.101098777532	0.0073002916045	0.000625864355007
a20	0.0433324890567	0.0620074775769	0.0949456839687	0.666065686442	0.122967467511	0.0100572925348	0.000623945573669
a31	0.0482639440189	0.058927381859	0.0864985163229	0.664698262147	0.12901007917	0.0118597001116	0.000742131291223
a20	0.041397160673	0.046700511953	0.0675531797743	0.689997954049	0.141381053057	0.0122341543039	0.000735968297074
a31	0.0396011222243	0.0434871293177	0.0615257559248	0.69312015135	0.148237057686	0.013164253768	0.000864511779025
</S>	0.0370378591122	0.0462440946589	0.0637513579624	0.715605075675	0.125908188843	0.010602287884	0.000851131109512
