 	l'	ha	scritta	</S>
a20	0.87361733	0.00568971055	0.117096404	0.003596587
a31	0.819933293333	0.00315905308333	0.171288901333	0.0056187938
a35	0.584390554444	0.00292390099444	0.399354233778	0.0133313136
a31	0.481081158148	0.00336687229815	0.499219554593	0.0163323988667
a35	0.418783502716	0.00302473333272	0.558589841531	0.0196018842889
a31	0.272257750905	0.00787434214424	0.67791594051	0.041951908763
a41	0.216443591635	0.00990977484808	0.704763693503	0.068882872921
a31	0.163795245212	0.0202462640827	0.711203331168	0.104755124307
a11	0.176975801737	0.0340046230276	0.624016563723	0.165003014769
a18	0.203110433912	0.0475066806759	0.539018357908	0.210364544923
a13	0.349816514637	0.085545184892	0.369034269303	0.195604034974
</S>	0.437092132318	0.109914357446	0.283301134651	0.169692347487
