 	vogliono	girate	</S>
a31	0.22728917	0.75440988	0.0183009665
a20	0.248492673333	0.721554693333	0.0299526435
a31	0.192479864444	0.772251054444	0.0352691045
a18	0.128197875481	0.826280341481	0.0455218081667
a46	0.058891015827	0.870414880494	0.0706941027222
a31	0.029885541609	0.901277313498	0.0688371442407
a3	0.0197402908697	0.928589324499	0.0516703774136
a10	0.0253884182899	0.920473474833	0.0541380884712
a39	0.0476234550966	0.874598391611	0.0777781561571
</S>	0.0636533200483	0.843964095805	0.0923825980786
