 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	0.22406271	0.36469824	0.0056829977	0.0257415431	0.0214213351	0.354614607	0.0028394981	0.00093904255
a31	0.27760171	0.263844676667	0.00355611243333	0.0134969741	0.0085048378	0.430188852333	0.00184414476667	0.000962663363333
a13	0.278076263333	0.235189232222	0.00263731374444	0.0092958662	0.0043250854	0.464533544111	0.00335169795556	0.00259097500111
a20	0.225607784444	0.167416320741	0.00280260661481	0.0130702185667	0.00669733156667	0.567166768037	0.0100191428852	0.00721984300037
a15	0.255328541481	0.260301946914	0.00481545943827	0.0338433508556	0.0132985425222	0.411333492679	0.0126141911284	0.00846450033346
a20	0.309456380494	0.346025505638	0.00662337237942	0.0569474536185	0.0185868068407	0.246167810893	0.0099682195428	0.00622446894449
a31	0.281341396831	0.411245915213	0.00743105645981	0.0665350278728	0.0442358826136	0.171946378964	0.0120010795143	0.00526326581483
a39	0.225529292277	0.365977105071	0.00601419321994	0.0540451256243	0.0521188345379	0.271171771655	0.0174152891714	0.00772836860494
a31	0.177930284092	0.33647028169	0.00518002663998	0.0525251665414	0.0610642351793	0.335028623885	0.0226533077238	0.00914805336831
a20	0.108212078031	0.32807485723	0.00551551557999	0.0633885651805	0.0723453307264	0.379822574628	0.0299438942413	0.0126971812894
a31	0.0579985033437	0.206027435743	0.00509054906	0.0749118897268	0.0833070325755	0.521352824876	0.0379864064138	0.0133253794298
a7	0.0321205674479	0.149001908581	0.00533666168667	0.0962046599089	0.0922317681918	0.571843508292	0.0415502531379	0.0117106738099
a46	0.021292346816	0.18822317286	0.00984694889556	0.169711276636	0.109572780064	0.457630646097	0.032683639046	0.01103917077
a39	0.0211425066053	0.272040650953	0.0166519279652	0.262027485545	0.163183806688	0.238319768699	0.0202026513487	0.00643118032333
a31	0.0225956575351	0.229856953651	0.0155165456551	0.243566921848	0.209357398896	0.256019279566	0.0188189857829	0.00426825394111
a46	0.0210271585117	0.19579818455	0.0153239895517	0.258057500616	0.232739489632	0.256071769855	0.0175637975943	0.00341811368037
a0	0.0171761108372	0.24506478485	0.0220030475172	0.341261693539	0.220444196544	0.136451079952	0.0136593855314	0.00393968452679
a27	0.0168002369457	0.281268088283	0.0258731098391	0.364470584513	0.206034652181	0.0890255783173	0.0122692146771	0.0042585533756
a20	0.0172777653152	0.297552326094	0.026517757613	0.362773134838	0.212486507394	0.0677711724391	0.0116097633924	0.0040115973252
a0	0.0180321397717	0.301636965365	0.027160658871	0.366961891613	0.202857609131	0.066405868813	0.0122788176308	0.0046660541084
a14	0.0190465235906	0.310909895122	0.027490148957	0.368369977204	0.18856894971	0.0674634949377	0.0129801463769	0.00517088683613
a0	0.0197264158635	0.315775721707	0.0273098309857	0.366274162401	0.183707283237	0.0682538103126	0.0135138581256	0.00543892304538
a46	0.0190457696212	0.312341483902	0.0275966326619	0.371681954134	0.181938951079	0.0685693147709	0.0133166130419	0.00550926944846
a20	0.0173665042071	0.299334041301	0.0269538738873	0.369070311378	0.209555057026	0.0611693129236	0.0120387106806	0.00451219531615
</S>	0.0166664236036	0.29084612065	0.0262716329437	0.364396120689	0.228262573513	0.0579567464618	0.0115867218403	0.00401367590808
