 	non	ha	da	mangiare	</S>
a31	0.57692024	0.04568427	0.0322867017	0.30612512	0.038983661
a20	0.428924193333	0.0176465109	0.0124798832333	0.518243746667	0.0227056903333
a31	0.291264414444	0.0092991472	0.00602665684443	0.672828368889	0.0205814817778
a41	0.207701592815	0.00607837763333	0.00371149398148	0.755473722963	0.0270348829259
a10	0.0889485169383	0.00422105044444	0.00293098819383	0.858603040988	0.0452964543086
a31	0.0705646756461	0.00913863748148	0.00638520246461	0.847859846996	0.0660517014362
a15	0.0507835225487	0.00969574452716	0.0070945652882	0.873032462332	0.0593937438121
a31	0.0876712661829	0.0161341615424	0.0146908132294	0.835786300777	0.045717444604
a39	0.109895048728	0.0224100171808	0.0236938374098	0.771384066926	0.072617024868
a37	0.109998639576	0.0229344150603	0.0236163311366	0.730571222309	0.112879418289
</S>	0.147155839788	0.0277466965302	0.0247972375683	0.673442911154	0.126857339144
