 	lo	sentii	che	arrivò	</S>
a11	0.62925374	0.0652473865	0.121630995	0.1692969275	0.01457105
a31	0.743938413333	0.0657162488333	0.067878194	0.1094397475	0.0130274891667
a28	0.765592371111	0.0486845369444	0.0488736553333	0.1113994025	0.0254500828889
a37	0.72435839037	0.0316049836481	0.0498391117778	0.138104260833	0.0560932996296
a20	0.713576840123	0.0274071138827	0.0668926389259	0.127805810278	0.0643175968765
a31	0.607988966708	0.0263265479609	0.0973361163086	0.220016036759	0.0483322879588
a1	0.506904332236	0.0278790413203	0.12702648877	0.264402162253	0.0737879699863
a0	0.610854800745	0.0378097087734	0.128977984257	0.137320555418	0.0850369616621
a17	0.685693006915	0.0493963862578	0.137597909419	0.072763663806	0.0545490242207
a31	0.482022250638	0.0405143447526	0.20766798314	0.188598095269	0.0811973067402
a0	0.274079728546	0.0466143985842	0.282186461047	0.26643422509	0.130685152247
a46	0.253506616182	0.0706454345281	0.336310687016	0.215257128363	0.124280104082
a31	0.171726738727	0.0537377378427	0.352050125672	0.293252579454	0.129232814694
a18	0.112255511576	0.0505476759476	0.338466465224	0.351172376485	0.147557961565
a31	0.105688075859	0.0517231226492	0.324282168408	0.390468825495	0.127837777188
a39	0.085933801953	0.0393571695497	0.320017336136	0.447850961832	0.106840685729
a31	0.0801239353177	0.0361084658499	0.289626732045	0.512017583944	0.0821232539097
a46	0.0730893254392	0.0291146866166	0.219838187348	0.615268904648	0.0626889159699
</S>	0.0610486762196	0.0300375413083	0.195079638674	0.654335102324	0.059499091985
