 	mia	sorella	non	è	venuta	mai	qui	come	io	</S>
a31	0.0095264582	0.2316832015	0.0094558965	0.007831765	0.15143251	0.0193547775	0.060546413	0.1167479085	0.311576265	0.0818447675
a24	0.00466771713333	0.1022948335	0.00732347203333	0.00707010266667	0.113473996667	0.0302151005	0.097045161	0.175104256167	0.343672631667	0.119132729167
a31	0.00525853531111	0.100250499833	0.00741487754444	0.00634316245556	0.209288792222	0.0325487075	0.0996205936667	0.147494790056	0.269225250556	0.122554816389
a13	0.00531883193704	0.119233429944	0.00656953481481	0.00513969001852	0.226673045741	0.0233215005	0.0762338318889	0.123303391352	0.300128440185	0.114078295463
a18	0.00311281727901	0.137125759981	0.0038000524716	0.00303161623951	0.104140216914	0.0149772447333	0.0543957606296	0.132908923784	0.429258623395	0.117248950488
a20	0.005690029893	0.260692089994	0.00554782172387	0.00293832681317	0.0554309719713	0.00869819134443	0.0312041635432	0.122242851261	0.418584351132	0.0889712021627
a31	0.00953681829767	0.384133746665	0.00963164657462	0.00654400840439	0.163646453657	0.00916890264814	0.0205214701811	0.0838898594203	0.257178701711	0.0557484340542
a37	0.00795268196589	0.343430472222	0.00882718825821	0.00729540746813	0.196839102552	0.00917617438271	0.0174551693937	0.0771759854734	0.281156931904	0.0506909313514
a31	0.00756365418863	0.338762500741	0.00772694548607	0.00684354532271	0.194720262184	0.00850253529424	0.0160761051312	0.0753411801578	0.294636440635	0.0498268394505
a11	0.00667623424621	0.285441300247	0.00652870356202	0.0062588080409	0.189962727395	0.00777766863141	0.0141026540437	0.0749713217193	0.357392180212	0.0508883854835
a31	0.0060517122654	0.267940423416	0.00554764592067	0.00563623111363	0.179195182465	0.0071757807438	0.0132431106812	0.0756218195731	0.386829466737	0.0527585918278
a11	0.00574471066513	0.251983478472	0.00505986586022	0.00527588428121	0.174243149422	0.00666199978127	0.0117050560604	0.077372442191	0.410612288912	0.0513410872759
a31	0.00541002179838	0.238358216824	0.00452528884007	0.00480253500374	0.160154238407	0.00597448312709	0.0108972985201	0.0799718807303	0.435883369637	0.0540226507586
a11	0.00527411944613	0.230591687941	0.00430202011336	0.00458666151791	0.154905141936	0.00558178770903	0.0097902331067	0.0824319369101	0.451867453212	0.0506689252529
a31	0.00518914166204	0.20756694498	0.00410195953779	0.00429960735597	0.135477043112	0.00483396576968	0.00846743730223	0.0866067156367	0.489671017737	0.0537861440843
a13	0.00517832783735	0.19907818846	0.00404273608926	0.00418602441199	0.128919119704	0.00451754978989	0.00766163630074	0.0860628818789	0.510091939246	0.0502616003614
a31	0.00540993556245	0.16839596962	0.00431978860642	0.00408688253066	0.107456771901	0.00373317492996	0.00582513076691	0.088921922293	0.561063273082	0.0507871684538
a18	0.00552887083748	0.157841417207	0.00448053818214	0.00409745486355	0.1007110182	0.00364245784332	0.00549340205564	0.0873520090977	0.582661834361	0.0481910378179
a31	0.00643518592916	0.143098496402	0.00593330070738	0.00448968187452	0.0843875069667	0.00318788938111	0.00437663568521	0.0858778986992	0.618913461454	0.0432999692726
a10	0.00682448324305	0.138881151467	0.00659076556913	0.00472991565817	0.0801566673222	0.00353828156037	0.0056580862284	0.0804062718997	0.629698987151	0.0435153977575
a7	0.00279346047102	0.0523272288223	0.00314147975638	0.00229163035272	0.0333926917741	0.00408628705346	0.0101343387428	0.110149823967	0.734574612384	0.0471084362525
a31	0.00863697161367	0.126805701941	0.0115633394855	0.00560203455091	0.054608838258	0.00481663748449	0.0100588362809	0.0918310306557	0.642031367461	0.0440452160842
a20	0.0107533246379	0.153417540314	0.0146553826285	0.00691526201697	0.0635256984193	0.00578491862816	0.012506684127	0.0794794395519	0.605349069154	0.0476126703614
a31	0.0115358539793	0.175953196438	0.0172896206762	0.00717402350566	0.0584245651398	0.00602955764272	0.0133096161757	0.072227557184	0.590949889718	0.0471061117871
</S>	0.0170145059897	0.267728488219	0.0259721603381	0.00991303825283	0.0763135075699	0.00523074097136	0.00845627978785	0.046947684592	0.507086344859	0.0353372283936
