 	ha	che	sono	usciti	</S>
a31	0.003969905	0.0482767095	0.054786838	0.85158315	0.04138338
a13	0.00367443136667	0.0254097015	0.027631107	0.910080036667	0.03320471
a8	0.00214806482222	0.0126495204	0.0213080153333	0.930680932222	0.0332134733333
a24	0.00211015947407	0.0140174197	0.0456857224444	0.895845327407	0.0423413917778
a31	0.00247810852469	0.0159132572333	0.0660430841481	0.867880315802	0.0476852479259
a0	0.0020903438749	0.0115141044111	0.060543180716	0.874405561934	0.0514468379753
a31	0.0166497441583	0.012386443137	0.0466690179053	0.884223953978	0.0400709106584
a8	0.0222609127194	0.010676682279	0.0305009086351	0.913605167993	0.0229563908861
a23	0.00932029200647	0.00499034992633	0.024287778545	0.938106085998	0.0232955326287
a8	0.00520378643549	0.00393759424211	0.027401087515	0.939949225333	0.0235083402096
a23	0.00424963924516	0.00438316141404	0.0324903691717	0.934746791778	0.0241300714032
</S>	0.00393881877258	0.00461450920702	0.0350555795858	0.930938395889	0.0254527252016
