 	ora	io	sto	studiando	di	di	imparare	di	diventare	maestra	</S>
a33	0.01070033475	0.057686313	0.073535585	0.105815143	0.09003705	0.099427593	0.17385512	0.11982678	0.074892275	0.179113785	0.0151100115
a31	0.0115478719167	0.0593835393333	0.0764851733333	0.119951727667	0.0814284613333	0.080980631	0.20841499	0.139628393333	0.071624757	0.135804591667	0.0147498681667
a7	0.00722345130557	0.0603128297778	0.0758591611111	0.131407999222	0.0861864564444	0.0774129636667	0.223243166667	0.144756197778	0.063380263	0.116664390556	0.0135531530556
a0	0.00576706976852	0.0813444232593	0.101816182037	0.172369149741	0.110213943481	0.0782358245556	0.179027805556	0.116039045926	0.050804467	0.091453436852	0.0129286943519
a31	0.00530509068951	0.0672832460864	0.0851916340123	0.13147415658	0.096398518827	0.0718875081852	0.212433695185	0.142469701975	0.0549715596667	0.122497542284	0.010087370784
a37	0.00423764822984	0.0586325736955	0.0789177096708	0.121270492193	0.104212130609	0.0725250980617	0.216870805062	0.145142527325	0.0537586125556	0.136877534095	0.00755484126133
a8	0.00423947864328	0.0582925962318	0.0828623828903	0.118677804064	0.122635130203	0.0769082146872	0.212277468354	0.124074375775	0.0402269335185	0.153067558032	0.00673802842044
a37	0.00541970608109	0.0419199630773	0.0609161736301	0.069242603688	0.103975283401	0.0772439028957	0.261541582785	0.136994401925	0.0359209538395	0.201077966011	0.00574745047348
a31	0.00476604942703	0.0452737856924	0.06713056921	0.0580494985627	0.127183091134	0.0899627722986	0.230824710928	0.123337447308	0.0390053672798	0.208835955337	0.00563073915783
a17	0.00353694484234	0.0410589797308	0.0614487424033	0.0490543898542	0.128651797045	0.0943637254329	0.252335946976	0.119844735769	0.0370124430933	0.207550325112	0.00514194671928
a37	0.00371165451411	0.0239719414103	0.0371659711344	0.0324186022847	0.089429531015	0.0871195464776	0.322876745659	0.13895836859	0.0328254893644	0.227665481704	0.00385666323976
a31	0.0038885557047	0.0295799034701	0.0484579230448	0.0371174064282	0.124887252338	0.105567725493	0.25005744022	0.119509356197	0.0368451801215	0.239474573901	0.00461471907992
a14	0.0025080786349	0.0289889091567	0.0491176766816	0.0423520084761	0.135103050779	0.104096649831	0.291367888407	0.105280718732	0.0302789503738	0.206519257967	0.00438681192664
a3	0.0021093065783	0.0156090137189	0.0271138782272	0.0289876668254	0.081909193593	0.081861941277	0.407326889469	0.135421286244	0.0257499244579	0.191246455989	0.00266439817555
a11	0.0026470254261	0.010081673573	0.0174478854091	0.0174482109418	0.054778918531	0.071739692759	0.437867889823	0.165965425415	0.028660794486	0.191456551996	0.00190591192518
a35	0.0029024690087	0.007645349191	0.0130738524697	0.0123667371473	0.0426973388437	0.0665623919197	0.459886839941	0.181815481805	0.0302130898287	0.181317537332	0.00151894170839
a8	0.00314528923623	0.00712932573033	0.0119769974899	0.0101190598824	0.0414797509479	0.0723975193066	0.442524823314	0.188701537268	0.0351811866096	0.185798989111	0.00154555026946
a23	0.00287924834541	0.00601417624344	0.0101349271633	0.00817287129413	0.0364654496493	0.0684114437689	0.458420374438	0.196836292423	0.0359808835365	0.175413969704	0.00127036467315
a31	0.00268991234847	0.0127733567478	0.0229671570544	0.0159014987647	0.0790515465498	0.0937839485896	0.373299524813	0.161620339141	0.0361922068455	0.198900689901	0.00281980627438
a11	0.00212931804949	0.0146086961159	0.0268913320181	0.0193862389216	0.0911880691833	0.0949727885299	0.389182708271	0.136880498047	0.0308839026152	0.190669316634	0.00320715359146
a10	0.0011758817165	0.00685493633863	0.0129715286727	0.0118111933072	0.0426853013944	0.0510334671766	0.558292282757	0.160257636016	0.0204771028717	0.133179415545	0.00126128259049
a31	0.0011469477055	0.00932297521288	0.0184111312242	0.0163501724357	0.0767857584648	0.0793564143922	0.452312514252	0.137925448672	0.0236425466239	0.182692218515	0.00205388465683
a10	0.000963155951833	0.00957697110429	0.0193023200747	0.0174424221452	0.0861910424883	0.0851933357974	0.447653178084	0.117244509557	0.0221805375413	0.191990349505	0.00226219208561
a35	0.000443935983944	0.00417541893476	0.00855639465823	0.00909628671507	0.0372401494961	0.0434404015991	0.605126126028	0.140683673186	0.0150505955138	0.135331376502	0.00085563250187
a20	0.000251517337981	0.00216244144492	0.00445276101941	0.00537536773836	0.0191501331654	0.027144453533	0.680982208676	0.142485214395	0.0117511099379	0.105874035501	0.00037078863229
a31	0.000331850815994	0.00384245408164	0.0081864088398	0.0100287997461	0.0529190553885	0.055720775511	0.560869956225	0.111361131465	0.0142989690793	0.1814027285	0.00103792183576
a20	0.000335147482331	0.00424242611721	0.00911158041327	0.011211418082	0.0631544508962	0.0634059543703	0.548361072075	0.0847955958217	0.0141452142264	0.199986014167	0.00125111567325
a31	0.00028313904111	0.00322914679574	0.00699308760442	0.010140740194	0.0525150293987	0.0524796973234	0.543633007358	0.0705361916072	0.0121096872755	0.247128996056	0.000951228352417
a35	0.000262062382703	0.00284898246191	0.00618672314814	0.00960939206467	0.0486967933329	0.0484716796078	0.540451452453	0.0608959748691	0.0112497203585	0.270479805352	0.000847386809472
a14	9.3129809901e-05	0.00103274555197	0.00225972031271	0.00387886418822	0.0176285640776	0.0185182134693	0.780389484151	0.0519365462897	0.0047556119195	0.119202567784	0.000304548406491
a37	3.57741023003e-05	0.000407588308657	0.000881005050903	0.00166660864274	0.00688233822587	0.00806513158977	0.87961910805	0.0422200134299	0.0022631697565	0.0578386442613	0.000120593242164
a19	1.57661207668e-05	0.000187252722886	0.000395539206968	0.00088176962758	0.00311614484196	0.00435801922992	0.909317116017	0.03844904981	0.00141614750217	0.0418052514204	5.79418930547e-05
a28	9.84771558893e-06	0.000111523597629	0.000223534718989	0.000568150609193	0.00174835811399	0.00289107227664	0.928711972006	0.0310176109367	0.00102757360072	0.0336465098068	4.38723313516e-05
a21	8.48543032964e-06	8.1691060543e-05	0.000151712142996	0.000370233856398	0.001163598238	0.00212152179221	0.952259570669	0.0200944296456	0.00071237419024	0.0229911452689	4.52224447839e-05
a11	9.60225690988e-06	7.68380915143e-05	0.000137394990999	0.000312962078799	0.00100793231267	0.00194598346407	0.96018513689	0.0154688107152	0.000640737553413	0.0201595840896	5.49964945946e-05
a37	1.32187226366e-05	9.10537438381e-05	0.000163540050333	0.000348939056266	0.00115753303756	0.00220160705469	0.960262878963	0.0136717714051	0.000683272451138	0.0213336583632	7.25443335315e-05
a29	1.66173392122e-05	0.000102241154613	0.000188253800111	0.000395179885422	0.00132807897919	0.00245819505156	0.958610292988	0.0130441058017	0.000728728603713	0.0230462237877	8.20784395105e-05
a18	2.78795460707e-05	0.000141525971538	0.00027153365337	0.000527267491807	0.00189084455973	0.00340459071719	0.950892054329	0.0140964349339	0.000979292087904	0.0276521962626	0.000116334114837
a31	0.000107179624357	0.000626376147179	0.00138993427779	0.00222996131727	0.0126186415199	0.0151714138057	0.78723855811	0.0231499366446	0.00350410746263	0.153790567754	0.000173283778279
a20	0.000153423838119	0.000855690702393	0.00196016775926	0.00333965383909	0.01748551704	0.0205514211019	0.717738886037	0.0281113835482	0.00472701815421	0.204853875918	0.000222983696093
a31	0.000182158369373	0.00117933218746	0.00257419921975	0.00412313244636	0.0178987925467	0.0200190618673	0.696230688679	0.0309733018494	0.00486828638474	0.221714295306	0.000236800052031
a39	0.000208069279791	0.00131394199582	0.00281939837325	0.00452597624879	0.0188849521822	0.0212979149558	0.67907011956	0.0319424029498	0.00519276912825	0.234492955102	0.00025148791401
a31	0.000226401976597	0.00166198583194	0.00336431092442	0.0052351177496	0.0193403967274	0.0212100206519	0.677652469853	0.0327579386499	0.00520901194275	0.233065838367	0.000276478638003
</S>	0.000270717698298	0.00241779916597	0.00474967946221	0.0068012218748	0.0245666108637	0.0248110613259	0.585209409926	0.038286336325	0.00610498432138	0.306506839183	0.000275329189002
