 	non	aveva	cosa	a	fare	</S>
a31	0.06490508765	0.68941305	0.0043185707	0.105626488	0.083857657	0.051879164
a18	0.0853177792167	0.700751816667	0.00312983223333	0.076787393	0.0564276683333	0.0775855213333
a24	0.0542201694056	0.622727352222	0.00240663014444	0.124749349333	0.0729759774444	0.122920523778
a20	0.0465840994685	0.620352614074	0.00206059311481	0.137325399778	0.0836485524815	0.110028726926
a31	0.0405584070228	0.563056921358	0.0018990262716	0.149592773259	0.16644377416	0.0784490699753
a18	0.0231533355409	0.537456673786	0.00198837662387	0.162967447753	0.198463558053	0.0759706019918
a31	0.0168372101803	0.592821957929	0.00194216670796	0.161064529251	0.149676802684	0.0776573539973
a17	0.00796491249343	0.58410711931	0.00146870283599	0.16991920975	0.155035317561	0.0815047613324
a20	0.00459200449781	0.467767953103	0.00140324374533	0.16123303325	0.290651819187	0.0743519614441
a31	0.0080507057326	0.385734647701	0.00143054278178	0.183809671083	0.356296556396	0.064677888148
</S>	0.0131782038663	0.443991048851	0.00127888939089	0.194111065541	0.285701833198	0.061738964074
