 	che	consuma	poco	benzina	</S>
a31	0.1221060535	0.1612423565	0.00198524247	0.69622302	0.018443271
a41	0.0486495171667	0.0815707898333	0.00084108112	0.860179443333	0.008759127
a31	0.0267694853889	0.0452164506111	0.00043255425	0.921552764444	0.0060286942
a28	0.0180401309963	0.051294887537	0.000451434443333	0.917157521481	0.0130559812667
a24	0.00729233689877	0.110500019179	0.00121003984778	0.84686985716	0.0341277414222
a31	0.00835658733292	0.14575629306	0.00196828018259	0.79259853572	0.0513203181407
a11	0.00818489995431	0.11317907102	0.00159448292753	0.82876463524	0.0482769613802
a31	0.00782436216144	0.08238077034	0.00161104110918	0.871449418413	0.0367344504601
a46	0.00877152882048	0.0648396081133	0.00213548430306	0.896877212804	0.02737618082
a31	0.0493245780402	0.105095567371	0.00344786476769	0.818637927601	0.02349406094
</S>	0.0924941840201	0.163224198686	0.00477537588384	0.715111213801	0.02439500547
