 	mio	padre	ha	lavorato	sempre	</S>
a23	0.10466897	0.65546631	0.00148851778	7.1298547e-05	0.230892374	0.00741266471
a31	0.111713711333	0.449700576667	0.00187362172667	7.2747849e-05	0.428334604667	0.00830482537
a37	0.062038485111	0.464758245556	0.00128666840556	4.666013e-05	0.466360608222	0.00550934272333
a31	0.035667065037	0.665237891852	0.000633489625187	2.95905766667e-05	0.294516577074	0.00391536622778
a37	0.0165239019123	0.851489520617	0.000368575333062	1.95857156889e-05	0.129073983358	0.00252442779593
a3	0.00948244103743	0.926279973539	0.000162956103687	1.03442724963e-05	0.062137400786	0.00192686646531
a31	0.00683696444581	0.96504901118	0.000111203532562	6.81133176543e-06	0.0269858105953	0.00101022322177
a3	0.00435646598194	0.977472180393	8.1123814854e-05	4.67705442181e-06	0.0171906165318	0.00089495544059
a44	0.00288798986065	0.972930716798	4.36639599513e-05	3.2149049406e-06	0.0227713578439	0.0013630297802
a31	0.00289851458688	0.971972338933	3.87651226504e-05	4.6642929802e-06	0.0238609792813	0.00122465941673
a8	0.00565991569563	0.933370346311	0.000107721355883	2.70910818934e-05	0.0594661130938	0.00136875912891
a31	0.0115817753985	0.91220404877	0.000217194385294	6.03900572978e-05	0.0744330550313	0.00150354198964
</S>	0.0155422176993	0.935679974385	0.000261468342647	7.24284036489e-05	0.0474722135157	0.00097167316482
