 	l'	ho	sentito	che	viene	</S>
a34	0.05012708715	0.0228462435	0.0722197	0.0936358075	0.595002015	0.166169224
a46	0.0526053087167	0.0160515617333	0.0469440606667	0.0663364541667	0.620324071667	0.197738581333
a41	0.0226339192056	0.0097383168111	0.0575806275556	0.0625164780556	0.703784340556	0.143746307111
a19	0.0100932057019	0.0102938611037	0.104580619185	0.0770652393519	0.684063230185	0.11390385237
a31	0.00502119953397	0.00970423073457	0.134463359728	0.104622523117	0.667176253395	0.07901243479
a20	0.00744018147799	0.0143867177782	0.145999006576	0.121908407706	0.646343947798	0.0639217255967
a31	0.00816332589266	0.0152338162594	0.149542472192	0.105621822569	0.664109735933	0.0573288428656
a24	0.00356487079755	0.00927956808647	0.149504820731	0.092681777523	0.683406411978	0.0615625602885
a31	0.00273623176585	0.00729532959549	0.145072353577	0.0883273191743	0.691093483993	0.0654752327628
a23	0.00253572312195	0.00503675196516	0.159273951192	0.109438316391	0.655165584664	0.0685496319209
a20	0.00197413617398	0.00780927018839	0.252815170397	0.181145998797	0.487432281555	0.068823142307
</S>	0.00170506658699	0.0101762140942	0.318700245199	0.224531549399	0.394051705778	0.0508352286535
