 	non	so	cosa	stai	scrivendo	</S>
a31	0.086038584624	0.138476604022	0.0268986937053	0.19069939541	0.4171505653	0.14073616434
a21	0.0362953463547	0.0924303662287	0.0620421524956	0.244347716603	0.461023286433	0.1038611418
a31	0.0214064677336	0.0781814914822	0.0743401290997	0.227417385574	0.463502986811	0.13515154746
a10	0.0170964637325	0.042641920495	0.0517531941438	0.234620759498	0.48795507407	0.16593259768
a7	0.0700428045278	0.047638224583	0.088160351262	0.201367544779	0.394395796623	0.198395286013
a41	0.140500350218	0.0647838339081	0.114962221839	0.143180566606	0.305238224501	0.231334810338
a31	0.129289928234	0.057183017388	0.110409461525	0.167761185469	0.33827165786	0.197084755453
a8	0.07728138536	0.0535678912267	0.0820029030929	0.21293130273	0.40903037962	0.165186150251
a31	0.0612667459573	0.0534596298116	0.054679123284	0.230969538417	0.436359992473	0.163264983317
a8	0.0648898480508	0.0402971758019	0.0602357122077	0.212693607006	0.482763898624	0.139119768372
a23	0.0567463192075	0.0401827972309	0.0765648003345	0.164946475069	0.510876974875	0.150682647991
a8	0.0581387325601	0.0625158957839	0.0935736602091	0.146665498556	0.479897428558	0.159208796201
a31	0.0693324714771	0.08256501401	0.0852932821683	0.138938367785	0.474094317253	0.149776567138
a21	0.0764540793026	0.082216835771	0.0836926934833	0.144773049195	0.479542605884	0.133320751713
a31	0.0977720615227	0.0837868061588	0.0957208217701	0.150659035798	0.440803389228	0.131257887084
a24	0.115177683713	0.0944943388011	0.0959364216044	0.150434400133	0.408256537009	0.135700627008
a21	0.122311351946	0.0964845976176	0.0811604798038	0.156699542978	0.409526784736	0.133817258003
a31	0.129935774725	0.0939897350112	0.0802079083241	0.151444485459	0.395343252379	0.149078857021
a17	0.12510703468	0.0920921061565	0.0892227970216	0.13496261262	0.384963568126	0.173651900027
a20	0.135356449922	0.0930508885415	0.0830919763242	0.13131801874	0.356612892975	0.200569798876
a0	0.15301956462	0.101597293919	0.0773068570324	0.143811636513	0.319020843658	0.205243830692
a31	0.14317003925	0.103017473319	0.0838793760439	0.145408461364	0.332995788886	0.191528872784
a8	0.132850387529	0.0963407066493	0.0877743050338	0.136482533381	0.349341589095	0.197210469948
a37	0.134274397415	0.0972980305118	0.0880869652339	0.14094092206	0.329866512165	0.209533165316
</S>	0.131369905578	0.0995901974609	0.091317006412	0.14660528843	0.317082871082	0.214034728658
