 	lo	posso	finire	di	fare	</S>
a20	0.30618323762	0.054108144878	0.111421785642	0.114961405282	0.2925831323	0.120742296364
a31	0.329261586207	0.0548886339509	0.175805239822	0.163094024381	0.2144783101	0.0624721997084
a46	0.37596904487	0.0308499084138	0.130884082513	0.158521799827	0.251270767387	0.0525043818405
a31	0.443848225554	0.0385605895554	0.0644794009858	0.104858720136	0.294966522054	0.0532865362439
a41	0.519825592995	0.0469269555473	0.0410683191738	0.090484163112	0.227006312657	0.0746886644527
a18	0.496022851946	0.0785494264111	0.0344187286314	0.091872299344	0.168388425886	0.130748274099
a7	0.458912897915	0.131501637317	0.0497179424658	0.080673073448	0.133259681029	0.145934775913
a41	0.380478804905	0.162573533772	0.0669292870619	0.0879325874627	0.159113513543	0.142972284171
a31	0.242243468968	0.195517560146	0.0717139906606	0.127713984334	0.196569385581	0.16624161203
a0	0.159491474856	0.224444954231	0.0899775311935	0.153469615578	0.204442308527	0.168174117943
a31	0.144185023885	0.187558363157	0.0967864740645	0.170025018326	0.236334853976	0.165110269848
a39	0.149985375695	0.129646382412	0.0823684078215	0.172994566842	0.287039975992	0.177965289416
a46	0.162398484765	0.110898828244	0.0881517023405	0.144994887747	0.319413716664	0.174142379139
</S>	0.161536183282	0.102391308722	0.0912174136702	0.135998383073	0.337165154332	0.171691556569
