 	vuole	andare	a	Lecce	</S>
a20	0.19326677211	0.272002482869	0.1736183378	0.211547114	0.14956530432
a31	0.243434263601	0.33341964649	0.1830477966	0.148231889829	0.0918664141678
a18	0.185181681298	0.322372452423	0.19746048858	0.232696852181	0.0622885397504
a46	0.0816113514127	0.267697072601	0.243921401573	0.348597217803	0.0581729846968
a37	0.0658216626509	0.194025617367	0.266275986411	0.419931140134	0.0539456228256
a23	0.119099474064	0.170618798542	0.23437744869	0.410931361245	0.0649729283552
a18	0.144483326021	0.152561138534	0.210526305163	0.405306732615	0.0871225162517
a38	0.126820255514	0.080762439378	0.190727347421	0.466248991538	0.135440996151
a37	0.141266688945	0.0620174645593	0.193079443507	0.412222460513	0.191413953384
a31	0.153584659182	0.110306375053	0.217766259436	0.308637640838	0.209705054461
a20	0.160495359101	0.144785164484	0.225681474479	0.249789388279	0.219248598687
</S>	0.175659223511	0.133207832042	0.213157603839	0.23867355714	0.239301772343
