 	viene	fabbricato	</S>
a31	0.515632867	0.183277327789	0.30108979772
a24	0.593150893667	0.1953684377	0.21148066
a31	0.624909804556	0.2048047782	0.170285402627
a18	0.582704536652	0.224844363213	0.192451077502
a31	0.525070707351	0.251862815958	0.223066457181
a37	0.512068418984	0.265850258393	0.222081314794
a31	0.432468933461	0.308538588118	0.258992476065
a20	0.417881536954	0.336968788106	0.245149661355
a41	0.429209412718	0.382259084769	0.188531485585
a31	0.380363572773	0.408026746923	0.211609675128
a35	0.351618968524	0.415573134974	0.232807899909
</S>	0.338808211662	0.443388780487	0.217803013454
