 	perché	aveva	lavorato	tutta	la	settimana	</S>
a31	0.188849751788	0.2626354978	0.131717198864	0.092786830061	0.05469498712	0.110464285538	0.158851466834
a20	0.107246552835	0.246362920507	0.248974996441	0.138174757823	0.0886441340553	0.0937808777182	0.0768157845743
a31	0.146683095625	0.249042978542	0.312877878734	0.126244094294	0.0937392559378	0.0420022359231	0.0294104770668
a18	0.144072767998	0.235292164981	0.330312826698	0.140609603908	0.101956793097	0.0233785649437	0.0243772977746
a31	0.0620562627093	0.247035458394	0.355298873233	0.176746229491	0.108064134709	0.0218219263028	0.0289771295652
a37	0.0440937321031	0.244580201198	0.376891281138	0.151865039968	0.110068015913	0.0278374608045	0.0446642905484
a13	0.0399128875477	0.214745747799	0.368971132719	0.126580537523	0.158055839571	0.0343978548927	0.0573360255495
a31	0.0458575481826	0.223992573333	0.284142095398	0.137539888233	0.163415289857	0.0739877775142	0.0710648392165
a20	0.0962776837875	0.194532475511	0.182469564983	0.12464196027	0.215744797552	0.0972113073714	0.0891222130722
a46	0.130693209269	0.12726852757	0.13911254589	0.0870602350193	0.310850662117	0.109747354644	0.0952674620001
a31	0.11312780053	0.13813318879	0.121662027347	0.0736109392531	0.295403999372	0.138824717321	0.119237338476
a13	0.123965656777	0.139274384197	0.0971917604871	0.0706713682839	0.292869713657	0.143470281607	0.132556865647
a20	0.151227167792	0.103889856199	0.0805642353412	0.0585629488735	0.325488880286	0.127424429429	0.152842504364
a31	0.131305118891	0.107184033933	0.0695058902811	0.0629259081138	0.325208165295	0.121609104203	0.182261786392
a46	0.128504693064	0.113806749911	0.0644935546117	0.0679184471979	0.319876375098	0.120746948681	0.184653228241
a39	0.167055645121	0.127330487837	0.0696938620086	0.063499745186	0.300536048366	0.10252402946	0.16936017688
a41	0.175241941574	0.154032239079	0.0746681911562	0.066951811302	0.285996485455	0.0951148099867	0.147994519227
a46	0.165257748858	0.211698943693	0.0744653270587	0.0682461639273	0.267006934485	0.0958012225956	0.117523659609
a39	0.164064419153	0.271373423898	0.0706562148262	0.0685333296824	0.224040757495	0.0995416739319	0.101790181243
a8	0.169187151318	0.294519387966	0.0719791148621	0.0713708344008	0.188137582765	0.109619813577	0.0951860988077
</S>	0.173488344059	0.302692719983	0.0747912614811	0.0725421674604	0.179472143782	0.114179287288	0.0828340462339
