 	mia	sorella	non	è	venuta	mai	qui	come	io	</S>
a31	0.184717558829	0.054926625694	0.01180575459	0.07560695949	0.15975009447	0.0118301334506	0.0274455044232	0.10886928196	0.194295105804	0.170752971093
a24	0.1453628913	0.0394167748145	0.0102925838333	0.04372295013	0.24630110157	0.0225461607639	0.0337901150418	0.0834920261513	0.201618686164	0.17345671097
a31	0.0930700985015	0.0462761396082	0.0097638517071	0.0290480318233	0.37362393493	0.0278228568938	0.0319573999427	0.0499738061231	0.173188586308	0.16527530582
a13	0.101454507542	0.0534766451571	0.014927040933	0.0377392415144	0.37028672337	0.0252530807238	0.0286755875972	0.0354761915108	0.155198264552	0.177512718164
a18	0.144178970992	0.0701528021859	0.0359587892257	0.0690524986181	0.253233005343	0.0251559512613	0.0254082960177	0.0370146639381	0.155839026893	0.184005984019
a20	0.175191720935	0.0932688966734	0.0548100666119	0.102538418219	0.164310201648	0.0254857003338	0.0256596435222	0.0620123577807	0.155316088984	0.141406886893
a31	0.159863502803	0.10575851698	0.0573412021373	0.1229751497	0.184016518683	0.0257908779713	0.0310790950445	0.0946617692822	0.111106578395	0.107406773784
a37	0.131893157928	0.0878142254513	0.0563080896591	0.1407730669	0.206840810694	0.0229081865038	0.0313607367415	0.120875780387	0.101406214298	0.099819727888
a31	0.152402825049	0.0858453768978	0.0540023083664	0.134296953	0.191831018565	0.0231196351679	0.0359972590138	0.149756639696	0.092989801066	0.079758183396
a11	0.153498233866	0.0779458645619	0.0546340939355	0.10205561492	0.189220447988	0.025101803496	0.0371337190713	0.183964134799	0.105850427889	0.0705956547653
a31	0.153254774805	0.0777755062046	0.0523587983918	0.0905654817133	0.191416227129	0.026251378972	0.0394300849304	0.192551969466	0.11763103083	0.0587647449884
a11	0.151720796264	0.0787446740189	0.0535070638413	0.0788491188064	0.198672398763	0.031210426464	0.0405550707835	0.185477566155	0.126808882143	0.0544540135961
a31	0.14640810935	0.081165161593	0.0587021545644	0.0793362721641	0.194252287241	0.0376168936613	0.0428871982945	0.165954400118	0.141575757248	0.0521017793654
a11	0.149046070719	0.0828822517043	0.0623778873281	0.0800547340714	0.187942618707	0.0420395026871	0.0471312320182	0.155331534173	0.150465239349	0.0427289380885
a31	0.150785074109	0.0799429089681	0.0677988266094	0.0831978073271	0.174495600396	0.0429197041357	0.0488632091927	0.144216487858	0.16610202425	0.0416783649628
a13	0.157051361026	0.0821487747494	0.0711026142518	0.083719500501	0.155077866665	0.0425905791986	0.0522115005042	0.134223298886	0.18481063515	0.0370638728876
a31	0.156276431732	0.0789580246098	0.0731408689326	0.084755882579	0.142267657755	0.0423972533795	0.0525191997681	0.126602107029	0.202788146717	0.0402944164625
a18	0.153484863374	0.0836992186699	0.0827771009069	0.0893520638637	0.130123668498	0.0434483662332	0.0541866427494	0.102158402076	0.220036222172	0.0407334368208
a31	0.142109001921	0.0879180268233	0.0867961292316	0.0879966171386	0.118696557413	0.0472685458311	0.0554015192498	0.092321733492	0.233569892991	0.0479219594736
a10	0.142404143294	0.100783187341	0.0964047078105	0.0859819235862	0.106541057604	0.051030408097	0.0582793760833	0.079258446164	0.220205682997	0.0591110375579
a7	0.133484798376	0.110507033447	0.109004598517	0.0707413376887	0.085971767668	0.0597581216723	0.0619009316944	0.0784346654547	0.229250109399	0.0609466116526
a31	0.116361900417	0.128921305949	0.098182857419	0.0697781237162	0.085921968156	0.0671680419841	0.0644259143715	0.0750149653516	0.216378784933	0.0778461142175
a20	0.112567138626	0.129473031583	0.0968062019663	0.0686093728054	0.0835022815853	0.0669552269547	0.0621331609972	0.0726344389839	0.212913251644	0.0944058820058
a31	0.118702234695	0.130810052461	0.0950266668821	0.0638927689018	0.0802376887284	0.0672720106049	0.0587044722257	0.071195854928	0.209725677748	0.104432576869
</S>	0.122157136148	0.13965904723	0.0884621594411	0.0639920058509	0.0849372597642	0.0680884247324	0.0566516207529	0.067460851264	0.195332978074	0.113258517235
