 	l'	ho	sentito	quando	veniva	</S>
a31	0.21055753395	0.18985568324	0.2238903157	0.15952683339	0.16022538729	0.0559442309532
a46	0.188265432415	0.197988428413	0.1949868369	0.138096451677	0.192293493123	0.0883693396714
a41	0.141232178484	0.212079790338	0.1950007497	0.107189049806	0.177742783151	0.166755435384
a31	0.157672648015	0.221704087646	0.152307606613	0.137492175681	0.126013994076	0.204809487347
a24	0.178335020045	0.193986523815	0.160691527384	0.179095681286	0.100197243161	0.187694005448
a31	0.254925141328	0.189881844538	0.161976537395	0.152980166962	0.0998402915737	0.140396021496
a15	0.269176606599	0.144440041939	0.148592112132	0.162762225207	0.104489664925	0.170539350165
a46	0.173673825056	0.124484779906	0.157953939644	0.175025560469	0.135202603775	0.233659291388
a31	0.151534682999	0.160142284902	0.154354912881	0.128280576556	0.169053856325	0.236633677796
a0	0.16664047898	0.188777948334	0.15628426216	0.099534230452	0.170659216975	0.218103842599
a41	0.179673499367	0.201465921578	0.179192756853	0.0972998178173	0.151127627392	0.191240355533
</S>	0.182870900424	0.198363133389	0.198241914327	0.100382077009	0.146977087996	0.173164861767
