 	devo	pulire	l'	albero	</S>
a39	0.165610243032	0.114651491808	0.221745430342	0.3436706246	0.154322210686
a31	0.144232551422	0.149198155171	0.253236527609	0.367822612067	0.0855101630567
a35	0.148015979602	0.1688542807	0.231265122003	0.352970803889	0.0988938168029
a31	0.128196326969	0.129338403558	0.157518993801	0.489838318763	0.0951079560943
a20	0.0696492062926	0.110324691	0.173778836867	0.562022269654	0.0842250060048
a31	0.0503930233795	0.112660226236	0.245550550822	0.504733595618	0.0866626116949
a37	0.0393792714485	0.118361481099	0.289584379874	0.463458300873	0.0892165640983
a1	0.0413038221895	0.101728903653	0.294482938065	0.441322644691	0.121161684433
a20	0.0661245630252	0.101110239531	0.270711677827	0.40391072103	0.158142787218
a31	0.0716845574771	0.127123374264	0.266455983174	0.37157133461	0.163164738439
a39	0.081300970019	0.134148397115	0.287929587925	0.34500271907	0.151618312773
a10	0.094185749343	0.152569156225	0.286379029908	0.32287613329	0.143989915991
a29	0.0934408310177	0.178702713875	0.279867445703	0.316834159697	0.13115483133
a46	0.131902715799	0.177568658358	0.299476518234	0.269588531299	0.12146355571
a31	0.145612547866	0.160906681986	0.318447627411	0.256610504453	0.118422627583
a20	0.145089728315	0.162347747529	0.335440847137	0.228559356771	0.128562328074
a13	0.143088298638	0.191447777176	0.357088429046	0.172826773257	0.135548733091
a20	0.156928382906	0.197153169459	0.346473959015	0.157704017352	0.141740480097
a31	0.166183683955	0.18178894622	0.351252822338	0.149920076251	0.150854476799
a11	0.148891847218	0.197270121407	0.354560850779	0.15216668795	0.147110495033
a17	0.157256771326	0.227621818469	0.319053584926	0.14976949505	0.146298325978
a20	0.184413325995	0.22110200749	0.290468348975	0.14480366375	0.159212646959
</S>	0.204350601197	0.212187681745	0.270230276487	0.142310002375	0.17092143348
