 	devo	comprare	il	pane	ogni	ogni	giorno	</S>
a31	0.145701604702	0.07624413635	0.0688605816	0.14584287116	0.12924276426	0.10642038985	0.15970014134	0.16798752645
a20	0.145053451369	0.0970770117503	0.0658814612133	0.15616497852	0.164084072193	0.135506499597	0.150469514873	0.0857630210555
a31	0.0882270644431	0.0813604635191	0.0941751491778	0.18775168244	0.146058503798	0.177052532412	0.169664392031	0.0557102126487
a20	0.0725369383463	0.0408414498784	0.0922946154659	0.21011180426	0.150076336733	0.192100129737	0.199562396884	0.042476324095
a31	0.0572388535297	0.0359297256598	0.099341197402	0.194353124	0.142132066644	0.206064383112	0.224280752675	0.0406598898945
a20	0.0583299122298	0.0327628730103	0.114801904607	0.187680601133	0.106738671948	0.227461034837	0.241352425272	0.0308725731068
a31	0.0581511151929	0.0620674588368	0.096213467589	0.166337974778	0.098207742116	0.220825807546	0.263366777717	0.0348296559823
a35	0.0485755096576	0.0823598958323	0.10756858111	0.190722147726	0.104888604772	0.193523448515	0.234443765732	0.0379180454008
a31	0.0439435284525	0.0949510757174	0.10805111137	0.187459783642	0.123097945124	0.186783583305	0.211502432044	0.0442105430603
a15	0.0665795339482	0.124206880552	0.08451362599	0.204295050147	0.133616510508	0.152024200768	0.190998358595	0.0437658426334
a18	0.0944588002534	0.0973922316307	0.07300608753	0.239074182582	0.139537947903	0.114410357056	0.180754377312	0.0613660178911
a31	0.0908098437645	0.0866558419102	0.0716623980433	0.195637166994	0.141984791834	0.137333740152	0.183122846637	0.092793373097
a20	0.0941956468215	0.0880141788367	0.0750904025478	0.183242367598	0.137073344878	0.135146049451	0.176202668146	0.111035340499
a7	0.0993918883232	0.0809840703789	0.0736566003159	0.197306980333	0.135678582026	0.114473884284	0.178846884849	0.1196611161
a31	0.0908924189637	0.11182500576	0.093790419572	0.188629276844	0.117826417342	0.108856475761	0.17798991075	0.110190068833
a7	0.0907064323212	0.113096269453	0.093872456024	0.175635112748	0.107193621781	0.10100692472	0.17981368885	0.138675483078
a6	0.0945509565537	0.084611464551	0.085961937508	0.164565402649	0.11764575726	0.104508201307	0.187330863617	0.160825409826
a20	0.0913511766512	0.103467366917	0.111824146169	0.152095551016	0.11972012142	0.115291850169	0.179737689206	0.126512087409
a3	0.0834407862371	0.121218167572	0.139167455256	0.165024246272	0.116677439073	0.117237535523	0.162679623469	0.0945547432697
a7	0.0810558729924	0.124424363991	0.151365304219	0.171827550757	0.115509736958	0.116231422774	0.151905455756	0.0876802893566
</S>	0.0855265223662	0.131316011195	0.15650240951	0.158988850879	0.113655279979	0.116935095187	0.146750723778	0.0903251041783
