 	sul	muro	vuole	uno	specchio	</S>
a31	0.25357752825	0.063138205274	0.136159619903	0.10358054396	0.2019402852	0.24160383174
a39	0.371497067583	0.0402502235253	0.121275649727	0.0602495654467	0.20041333444	0.20631418964
a35	0.40865476439	0.0209578735998	0.0794990831195	0.0647311816622	0.26154713422	0.164609986783
a31	0.408401473604	0.0180126798066	0.0746248713125	0.0703105290541	0.283631664713	0.145018795117
a2	0.430195299573	0.0258982507022	0.0704272700928	0.0739106650914	0.250408096244	0.149160431852
a0	0.372731733523	0.0427950796627	0.0812517157209	0.0873001783438	0.264188776048	0.151732540817
a20	0.348372424647	0.0528909728949	0.109564226931	0.0892246116279	0.251451367649	0.148496422146
a18	0.330721134782	0.0535232120503	0.137868141953	0.109994081876	0.220644540416	0.147248888915
a31	0.284858373394	0.0655221162568	0.133437779384	0.132679829492	0.223768907739	0.159732985472
a0	0.251447774105	0.0767631616176	0.141615398112	0.164416795497	0.230238096513	0.135518777757
a31	0.190290715142	0.0960558697379	0.141568356315	0.196530600099	0.234616646771	0.140937806786
a46	0.144198366467	0.104750029793	0.141985413742	0.2040545663	0.258800700657	0.146210908662
a33	0.128189154776	0.122623082411	0.152638979957	0.1938188919	0.263591306352	0.139138578221
a8	0.129535751259	0.17469440187	0.134860520439	0.1718332527	0.241689262917	0.147386803607
a31	0.13978703022	0.178520339957	0.119786465173	0.168194784833	0.224697382706	0.169013975069
</S>	0.14781503471	0.158837503079	0.110171436586	0.171184296917	0.219977755353	0.192013939535
