 	sto	e	cucino	</S>
a31	0.252065665505	0.293845821224	0.25560334145	0.19848516884
a20	0.207556118772	0.359608442824	0.27720807469	0.155627365767
a31	0.165920135478	0.425656469075	0.266349974003	0.142073441902
a37	0.151246031519	0.418085878025	0.262833077468	0.167835028634
a18	0.175795907932	0.390827854742	0.260596135289	0.172780099598
a31	0.189920285329	0.323861496514	0.309969865163	0.176248349413
a20	0.138946089323	0.307407860571	0.384485564454	0.169160483671
a31	0.159160720588	0.277595637057	0.404182191885	0.15906144529
a28	0.189926886596	0.240607949886	0.399297474628	0.170167676163
a33	0.186468183532	0.287040411295	0.355564140209	0.170927254188
a31	0.214589434311	0.277952715098	0.32430080407	0.183157029863
</S>	0.234107021155	0.245585180549	0.320353814035	0.199953961432
