 	vengono	vestiti	dai	genitori	</S>
a31	0.126217184537	0.224067822409	0.19876245506	0.17591340125	0.27503912133
a46	0.124235307297	0.260913923543	0.266831890228	0.134344051083	0.213674819117
a18	0.197479831786	0.277789031435	0.258357470891	0.103857834174	0.162515833706
a31	0.275632056962	0.283723611402	0.201898571557	0.139315861058	0.0994299096487
a11	0.321722350875	0.251989436855	0.173467634512	0.132389478373	0.120431104416
a31	0.32257905594	0.254700133696	0.157570891437	0.133290350278	0.131859566072
a39	0.311277596467	0.287185500125	0.167736601079	0.127055278313	0.106745011157
a31	0.289452685309	0.290116119242	0.184978214826	0.112750175971	0.122702791052
a35	0.232778578174	0.310209311081	0.197394286542	0.127311154257	0.132306676417
a31	0.181781209062	0.321153437694	0.206490975847	0.139464307819	0.151110075539
a18	0.139391620657	0.330597453898	0.208854651882	0.159125355873	0.16203089978
a0	0.121758031973	0.389787215966	0.195835648627	0.151867854224	0.140751228793
a31	0.101488833042	0.379729720655	0.197424480342	0.138476314408	0.182880635998
a37	0.075460465054	0.360518590218	0.204976112514	0.161916502669	0.197128309733
a20	0.079651871858	0.383614035406	0.187157467771	0.169428501156	0.180148115844
a31	0.0856577152193	0.334425539135	0.205208559524	0.163914497719	0.210793684748
a41	0.0875308866064	0.304620816378	0.217197419175	0.17660161444	0.214049255916
a20	0.0957147920688	0.303272512126	0.203500005392	0.185525950813	0.211986729239
a31	0.12194677109	0.261878381242	0.212744323464	0.189296025604	0.21413449328
a20	0.14858476163	0.233315400947	0.218526519155	0.195670581601	0.203902747693
a39	0.16616257721	0.219988187649	0.209715135718	0.197488718267	0.206645401631
a46	0.19001027307	0.207775695216	0.205208738573	0.184617987422	0.212387316544
a41	0.196006834357	0.219090313739	0.208546232858	0.171385042141	0.204971580181
</S>	0.189047528179	0.23111870687	0.213054789429	0.16937319857	0.19740578409
