 	da	da	un	famoso	poeta	</S>
a31	0.101645932101	0.078457362914	0.35470617826	0.123637436903	0.268890638218	0.072662463846
a37	0.056837991777	0.084305439915	0.491306691887	0.123760619603	0.198121675078	0.0456675923006
a31	0.0620800553977	0.0870352262751	0.514069253496	0.104296651307	0.18550639257	0.0470124147015
a28	0.0581840355972	0.0714830622146	0.524053832899	0.0788571900021	0.185339248732	0.0820826246272
a31	0.0956298748277	0.0917762331366	0.3968974861	0.0620173067356	0.183394196496	0.170284904916
a20	0.198513850609	0.106576884161	0.277699451593	0.0506028826892	0.142881165492	0.223725782352
a13	0.267171091693	0.118844458041	0.252736434158	0.0615467420431	0.0844865905753	0.215214712317
a39	0.267377898048	0.155036857685	0.241304229853	0.0743744161944	0.0747301976524	0.187176423772
a31	0.229726253917	0.154913017228	0.237755788551	0.102353562131	0.118847761843	0.156403617324
a35	0.190432712968	0.138721176976	0.208479932117	0.16272804971	0.155631557154	0.144006562175
a31	0.151259142939	0.128017344501	0.184856938506	0.200535430303	0.167358797551	0.167972342365
a17	0.125864874606	0.12891887429	0.171207979835	0.192233280168	0.190233095184	0.191541895895
a31	0.135586471429	0.131411823719	0.166916634945	0.178555515389	0.191121387728	0.196408162498
</S>	0.154653210715	0.12397618556	0.173505655973	0.166489520695	0.180451169864	0.200924246049
