 	forse	non	li	ha	a	casa	</S>
a28	0.417644602905	0.125963910211	0.0550598143861	0.145472999897	0.065094767932	0.0799272284844	0.110836685788
a10	0.444078068172	0.182170857078	0.06378425583	0.168771056506	0.0665077574727	0.0339571440753	0.0407308712429
a31	0.403181479637	0.200524890559	0.0841921957407	0.186409046525	0.0905510310489	0.0161567495839	0.0189845918776
a21	0.404040257639	0.180453880753	0.0955720123782	0.207753869732	0.0861968759803	0.0137066400683	0.0122764455895
a37	0.388025907113	0.191913651884	0.122130086411	0.165318468096	0.0666046109201	0.0251136548285	0.0408936117851
a31	0.395088684886	0.205905237448	0.127380203789	0.133577541033	0.052303169796	0.029732086703	0.056013071788
a37	0.399669111709	0.155521669409	0.12229310887	0.148143796718	0.090784711048	0.0354784169225	0.0481091936647
a31	0.391955097667	0.0921110262183	0.137349673345	0.16710009382	0.115149385599	0.0495875861975	0.0467471376769
a37	0.435172815448	0.0529513066814	0.11983363688	0.170851992254	0.119780547646	0.0647968462472	0.036612848137
a31	0.445367199069	0.0384441407485	0.0920920372646	0.163599388976	0.138710063215	0.0865167291151	0.035270449543
a21	0.426964704543	0.0505926131842	0.0997275204595	0.142658169044	0.140082661952	0.104235278968	0.035739067427
a31	0.414681740794	0.0625077759481	0.0997891373875	0.106893925887	0.126314540824	0.113729537636	0.0760833568117
a20	0.360612394481	0.0833403926227	0.105620281583	0.0992179253695	0.112052366488	0.114858936192	0.12429769622
a31	0.31310702311	0.105500481628	0.111313766657	0.0973131663679	0.110116756709	0.114773426552	0.14787535443
a37	0.28808471477	0.118523176023	0.110958637611	0.094911396362	0.10861305985	0.112807855072	0.16610115184
a33	0.267220696057	0.132079528934	0.114797621239	0.0930308612313	0.10071880973	0.106453498824	0.185698974093
</S>	0.266238648228	0.131418006767	0.110662446127	0.0899077134516	0.095618041235	0.103893044412	0.202262075817
