 	non	so	cosa	scrive	</S>
a46	0.071596340194	0.193451975031	0.220617953073	0.273350596163	0.24098313889
a8	0.074377065594	0.153089694381	0.279790332392	0.304075550013	0.188667353136
a31	0.122927488551	0.193550496	0.211863906283	0.356345049809	0.115313042348
a13	0.140078249617	0.22082624644	0.1978841961	0.350295449904	0.0909158453587
a31	0.117477020172	0.22486771074	0.215991067614	0.335633555086	0.106030641473
a28	0.121606342924	0.203364463527	0.235620724145	0.304709921136	0.134698548591
a31	0.141550692108	0.179613884722	0.222692917122	0.297627441809	0.158515072664
a37	0.124025336883	0.191593314201	0.219699231081	0.287253021323	0.177429115001
a31	0.131563574674	0.182879151414	0.223674633854	0.278540734441	0.183341923514
a11	0.160280629758	0.147033568871	0.191097714165	0.310981516147	0.190606573505
a31	0.181553725719	0.12699554129	0.175647050855	0.308973806716	0.206829878835
a20	0.19290246304	0.111703876697	0.157354230565	0.313112869572	0.224926575278
a31	0.199306722947	0.102790209166	0.152929726468	0.312323977857	0.232649373359
</S>	0.230789561074	0.108629459283	0.163033453734	0.267102849928	0.230444680079
