 	vuole	pianto	</S>
a39	0.3333526266	0.42316269	0.2434846941
a31	0.4340350576	0.39948896916	0.166475969384
a41	0.45665465268	0.402235329547	0.141110002714
a31	0.385733514707	0.476449696662	0.137816778514
a37	0.364519790739	0.490305253034	0.145174963745
a11	0.359797767103	0.451241800545	0.188960442115
a39	0.347165372874	0.443450739715	0.209383896505
a31	0.286925537111	0.482659323905	0.230415151435
a46	0.255703641704	0.485633204635	0.258663156612
a31	0.248499729368	0.446349170212	0.305151103937
</S>	0.238029953684	0.418000059106	0.343969995669
