 	l'	ho	sentito	che	veniva	</S>
a41	0.216580709	0.191656444	0.16830609443	0.168522934385	0.168432972455	0.086500871156
a31	0.239744226301	0.170492865067	0.138486077407	0.193033830004	0.182284819	0.0759581964893
a24	0.246759714577	0.100088291056	0.194544462073	0.141762826922	0.191740132141	0.125104570116
a15	0.198223293162	0.165576009519	0.226927356784	0.0812507996093	0.173575324669	0.154447212339
a28	0.170867940354	0.23162808604	0.228157226361	0.0929045711364	0.169428222316	0.107013942493
a0	0.166711391198	0.218251646013	0.223159223354	0.116033878379	0.172427541379	0.103416307758
a31	0.152270389266	0.220415870538	0.218095423185	0.113105688526	0.188106627698	0.108005997346
a11	0.134361101749	0.222507165046	0.201104230462	0.139264209509	0.177748312558	0.125014976882
a31	0.11536147385	0.217552968349	0.166837936754	0.157779033703	0.171772698946	0.170695882161
a39	0.119062409117	0.187715934116	0.156681091251	0.141683345101	0.178720140515	0.216137087054
a20	0.134065120292	0.176157372639	0.179984778484	0.1475452683	0.151408841972	0.210838621018
</S>	0.141341818826	0.181811356019	0.195157702742	0.14886419605	0.142192862986	0.190632050509
