 	venne	scritto	</S>
a29	0.43423602664	0.386920930094	0.178843048781
a24	0.532647681148	0.382055950627	0.0852963788657
a37	0.557462240824	0.409269630676	0.0332681411539
a29	0.569799164875	0.395710658005	0.0344901851135
a13	0.592577854958	0.327706882755	0.0797152745194
a11	0.575743728986	0.264172414625	0.160083879585
a31	0.536725671662	0.283349246342	0.179925104354
a39	0.487539511887	0.340451652114	0.172008835718
a18	0.446562038629	0.339085639371	0.214352311839
a8	0.41362008821	0.338009558457	0.248370352213
</S>	0.397190738105	0.342831104228	0.259978156106
