 	l'	ho	sentito	che	viene	</S>
a34	0.123265163781	0.13107665755	0.2525405884	0.1563930122	0.253728136552	0.0829964453025
a46	0.12412499905	0.138952204137	0.2751566344	0.14747995734	0.224722175513	0.0895640287138
a41	0.127603630551	0.149837652199	0.2296691118	0.109602703147	0.300143024098	0.0831438649293
a19	0.118942927628	0.179028026	0.169036214333	0.101957145979	0.339224766746	0.0918109188931
a31	0.142558739003	0.22929753154	0.122107560444	0.0993828487963	0.336439376429	0.070213962797
a20	0.141933795928	0.22659699642	0.115577160148	0.0994305964788	0.33436283701	0.0820986441017
a31	0.172638779656	0.219391598207	0.133964012983	0.109660938986	0.277266198983	0.0870785014272
a24	0.184635708319	0.218675175269	0.128986764861	0.125769318442	0.247170594374	0.0947624650824
a31	0.150582614406	0.206240364603	0.136781555754	0.118860273281	0.239595664658	0.147939536361
a23	0.144710976842	0.175166049488	0.155772079185	0.104137523894	0.232053399219	0.188159972654
a20	0.133743082174	0.155325695536	0.178663450862	0.122474900165	0.20316850014	0.206624384218
</S>	0.120106322787	0.146334873568	0.195307956431	0.136849491082	0.18957600947	0.211825363609
