 	era	molto	stanco	</S>
a46	0.09533542172	0.438476042927	0.16653404655	0.299654502682
a8	0.13724770236	0.519743313469	0.0991420778833	0.243866934416
a37	0.210534232267	0.469627420903	0.114282254248	0.205556116539
a31	0.253782391182	0.397417739301	0.187909960087	0.160889911966
a0	0.230286410294	0.371126221834	0.19474767088	0.203839688775
a20	0.215776877765	0.396918381211	0.156825578693	0.230479156392
a31	0.203597881035	0.50167672907	0.140470169164	0.154255220531
a39	0.152434853525	0.558459557023	0.136724170388	0.152381441644
a41	0.132233663308	0.524974934341	0.139178917529	0.203612520415
a31	0.112129898149	0.541464265447	0.141025502243	0.205380357872
a28	0.125909923963	0.488438331682	0.182744065681	0.202907693691
a11	0.154606092054	0.390869826427	0.225735661894	0.228788430097
a20	0.160705320951	0.363808816142	0.235822839698	0.239663030499
a31	0.149292235584	0.369765744714	0.243404641233	0.237537376366
a11	0.141977522615	0.348759916238	0.264097471078	0.245165087455
</S>	0.149593782238	0.314111239119	0.282821423539	0.253473554828
